iri,label,definition
http://lmss.sali.org/R81j4VBZk0ZJyM8Z4bfKDJG,Work Order Clause,"A Work Order Clause is a provision in a contract that outlines the specific tasks or services to be performed by one party for another, often including details such as timelines, deliverables, and compensation."
http://lmss.sali.org/R81kMOLHVVbe2vyCOS8LTuR,Emancipation of a Minor (Remedy),"Emancipation of a minor refers to a legal process through which a minor becomes legally independent from their parents or guardians, thereby assuming most adult responsibilities. Once emancipated, the minor is no longer under the care or control of their parents or guardians, and they can make legal decisions on their own behalf."
http://lmss.sali.org/R81n0uoiTFQMwwdzAskqkZD,Business Development Management,Business Development Management refers to the strategic planning and implementation of initiatives aimed at expanding and improving the business operations of a law firm or legal organization.
http://lmss.sali.org/R81opfsWnlEQvW2jFPWFOxo,Judgment of Arbitration,"A Judgment of Arbitration is a decision made by an arbitrator or panel of arbitrators in a dispute resolution process, which is binding on the parties involved."
http://lmss.sali.org/R81q0MYebZZv26XtzcIvVJ5,Disability Public Benefit,"Disability public benefit refers to government-provided financial assistance specifically aimed at individuals who are unable to work due to a disability. These benefits are designed to provide a safety net by replacing lost income or covering additional costs associated with the disability. In the United States, this can include Social Security Disability Insurance (SSDI), Social Security disability insurance, and Supplemental Security Income (SSI)."
http://lmss.sali.org/R81sYeX6XlFzhYawUGFCAfo,Central American Indian languages,"Central American Indian languages are a group of languages spoken by indigenous peoples in Central America, including languages such as K'iche', Mam, and Nahuatl."
http://lmss.sali.org/R81wHQGRIbpj4t46jFI0i2Z,Responses to Requests for Production,Responses to Requests for Production are documents produced in response to a formal request for information during the discovery phase of a legal proceeding.
http://lmss.sali.org/R81yd87w2FAjvdGX2u9gg57,Collaboration Agreement,A Collaboration Agreement is a legal document that outlines the terms and conditions of a partnership between two or more parties for the purpose of working together towards a common goal.
http://lmss.sali.org/R82041aCC5d3b7F0795DBf24,Janub al Batinah,Janub al Batinah is a region in Oman.
http://lmss.sali.org/R820f8c691bd044Dd8e8863f,Phatthalung,Phatthalung is a province in Thailand.
http://lmss.sali.org/R8217efEF73d95CEe5140b9c,Mauren,
http://lmss.sali.org/R82353804D910CB1ed50Db3b,Colorado Supreme Court,Colo.
http://lmss.sali.org/R82421ArEUfpkzc44YgVdcn,Indiana Circuit Court - Pike County,"Indiana Circuit Court - Pike County refers to a specific court within the Indiana Circuit Court system that has jurisdiction over legal matters within Pike County, Indiana."
http://lmss.sali.org/R82443cB78566FC7e957E06d,Mon,A Mon is an ethnic group native to Myanmar and neighboring countries.
http://lmss.sali.org/R824a894D8fc1ECC3d91A8c3,Saint Ann,Saint Ann is a geographic location in Jamaica.
http://lmss.sali.org/R824d410118e76632201B48d,Bermudian dollar,Locations used: Bermuda
http://lmss.sali.org/R826IlwooaiC1RFqXGOIghQ,Motion in Limine to Exclude Hearsay Witness,"A Motion in Limine to Exclude Hearsay Witness is a legal request made by one party to prevent the other party from presenting testimony from a witness who will testify about statements made by someone else out of court, which are being offered to prove the truth of the matter asserted."
http://lmss.sali.org/R826inlltaxQ8KIpU8F5aiL,Massachusetts Superior Court - Berkshire County,The Massachusetts Superior Court - Berkshire County is a specific court within the Massachusetts Superior Court system that has jurisdiction over civil and criminal cases in Berkshire County.
http://lmss.sali.org/R8279c5EB0ae4890a0dCFd31,Iwate,
http://lmss.sali.org/R828127C39fb1F5C1322B7a3,Pecki okrug,Pecki okrug is a region located in Serbia.
http://lmss.sali.org/R82Bc6e3B5ff08311c98C360,Ma'an,
http://lmss.sali.org/R82Bfd8D9316c4FEbae140f9,Vila Real,Vila Real is a city in Portugal.
http://lmss.sali.org/R82F6e3AADf0d1230489Baed,Palladium,"A one troy ounce unit of the precious metal palladium, which is used as a standard of exchange."
http://lmss.sali.org/R82IWJ1gNpkd1OgHK8jseIE,Affidavit of Prejudice,"An Affidavit of Prejudice is a legal document filed by a party in a case, alleging that the decision maker assigned to the case is biased or prejudiced against them, and requesting that the decision maker be disqualified from the case."
http://lmss.sali.org/R82Yb8u8L6F9E8vrZFOnfw1,"Funds, Trusts, and Other Financial Vehicles Industry","Industries in the Funds, Trusts, and Other Financial Vehicles subsector group legal entities (i.e., funds, plans, and/or programs) organized to pool securities or other assets on behalf of shareholders or beneficiaries of employee benefit or other trust funds.  The portfolios are customized to achieve specific investment characteristics, such as diversification, risk, rate of return, and price volatility.  These entities earn interest, dividends, and other investment income, but have little or no employment and no revenue from the sale of services.  Establishments with employees devoted to the management of funds are classified in Industry Group 5239, Other Financial Investment Activities.

Establishments primarily engaged in holding the securities of (or other equity interests in) other firms are classified in Sector 55, Management of Companies and Enterprises.  Equity real estate investment trusts (REITs) that are primarily engaged in leasing buildings, dwellings, or other real estate property to others are classified in Subsector 531, Real Estate.
"
http://lmss.sali.org/R82YwnDd4g8kOAQ7Ekb3bca,Nursing Home Liability,"Nursing Home Liability refers to the legal responsibility of a nursing home for any harm caused to its residents due to negligence or misconduct, specifically in cases where the nursing home is managed by a third-party entity."
http://lmss.sali.org/R82iOqJMuYOjOGxNmuj1pDp,Administrative Judgment,"An administrative judgment is a decision made by a government agency or administrative body, typically in regards to a specific case or issue."
http://lmss.sali.org/R82ikX2gSG3Kyc0OXqOpZve,No-Shop Covenant - Fiduciary Exception Triggering Event,A No-Shop Covenant - Fiduciary Exception Triggering Event is an exception to a no-shop covenant in a merger or acquisition agreement that allows a target company's board of directors to consider alternative acquisition proposals from third parties if they are deemed to be in the best interest of the company's shareholders.
http://lmss.sali.org/R82kPq1u51rWEx0EVL7w3lo,Cost or Fee Awarded - Amount Reduced,"A reduction in the amount of costs or fees awarded, which is a part of the broader concepts of cost shifting and fee shifting in legal matters."
http://lmss.sali.org/R82lHq2oPnrskZ1aM9NeNuA,New York City Court - White Plains,"A court located in White Plains, New York that operates under the jurisdiction of the New York City Court."
http://lmss.sali.org/R82mGnEayAviMiF6MSe5DdJ,Publicity Clause,"A Publicity Clause is a provision in a contract that governs the use of a party's name, image, or likeness for promotional purposes."
http://lmss.sali.org/R82sDBe1l2xgdhg2FECgLTq,Fatality Indicator,T/F - True if an incident involves a fatality
http://lmss.sali.org/R82uQen0znfTTc4f5C1o2Rt,Pennsylvania Magisterial District Court - Mercer County,"A Pennsylvania Magisterial District Court in Mercer County is a specific court within the Pennsylvania Magisterial District Court system that handles minor criminal offenses, traffic violations, and civil cases involving amounts up to $12,000."
http://lmss.sali.org/R82uVhc6npZEog1ylxKm0Tm,Pennsylvania Court of Common Pleas -  Somerset County,"The Pennsylvania Court of Common Pleas - Somerset County is a specific court within the Pennsylvania Court of Common Pleas system, which is responsible for administering civil and criminal proceedings at the county level in Pennsylvania."
http://lmss.sali.org/R82xerXrG6PJqHaSAtSEJ1G,Arkansas Circuit Court - Ashley Cty.,"A court located in Ashley County, Arkansas that has jurisdiction over civil and criminal cases within its designated geographical area."
http://lmss.sali.org/R83093957Dbc1995c7b0Abfa,Norfolk Island,
http://lmss.sali.org/R831gwscnsD8dJooBsV3H8O,Motion for Separate Trials,"A Motion for Separate Trials is a legal request to have different issues or parties in a lawsuit tried separately, rather than together in one trial."
http://lmss.sali.org/R831qlTEfOY7fTNpogU2lwU,extend_header,"""Used for client and/or firm specific extensions to the FIRM Segment  (See EXTEND_HEADER Segment below).  

If no extensions are defined, this element will not be present.
"""
http://lmss.sali.org/R8324f65964bbF7F4c9E32ee,Cocle,"A sole proprietorship, also known as the sole trader, individual entrepreneurship or proprietorship, is a type of enterprise that is owned and run by one person and in which there is no legal distinction between the owner and the business entity. The sole trader receives all profits (subject to taxation specific to the business) and has unlimited responsibility for all losses and debts. Every asset of the business is owned by the proprietor and all debts of the business are the proprietor's. It is a ""sole"" proprietorship in contrast with partnerships (which have at least two owners)."
http://lmss.sali.org/R832GJgr1HXYcI95tvBtaF9,Extension of Agreement Clause,An Extension of Agreement Clause is a provision in a contract that allows for the continuation of the agreement beyond its original expiration date.
http://lmss.sali.org/R833279D9060e4192a0FBf6f,Entre Rios,
http://lmss.sali.org/R833b5c0ED3442502a489318,Logatec,Logatec is a town located in Slovenia.
http://lmss.sali.org/R83464bD8995e7B72b393753,Saint David,"Industries in this group are comprised of legal entities (i.e., funds, plans, and/or programs) organized to pool securities or other assets on behalf of shareholders or beneficiaries of employee benefit or other trust funds. The portfolios are customized to achieve specific investment characteristics, such as diversification, risk, rate of return, and price volatility. These entities earn interest, dividends, and other investment income, but have little or no employment and no revenue from the sale of services. Does not include establishments primarily engaged in holding the securities of (or other equity interests in) other firms are classified, Real Estate Investment Trusts (REITs) that are primarily engaged in leasing buildings, dwellings, or other real estate property to others."
http://lmss.sali.org/R836643149791E86cbb857c2,Mozambique,
http://lmss.sali.org/R8366e3FCBd6d6B8f395F095,Gorj,Gorj is a region in Romania.
http://lmss.sali.org/R836c8a303dc4C14aaeBD2d9,U.S. Bankruptcy Court - W.D. Tennessee,Bankr. W.D. Tenn.
http://lmss.sali.org/R8372b3AC7127F95f5238a85,Michigan Supreme Court,Mich.
http://lmss.sali.org/R8373419A8d1d2F144862c44,Santiago del Estero,
http://lmss.sali.org/R8385d9F26f0cDB5ce7777d8,Lithuania,
http://lmss.sali.org/R839bee3FF5a277E28570b79,Bayburt,Bayburt is a city in Turkey.
http://lmss.sali.org/R83A57653Daeb313584851d2,Stockholms lan,Stockholms lan is a political subdivision of Sweden located in the eastern part of the country.
http://lmss.sali.org/R83A82e0BF6897A6d4d39da8,U.S. Bankruptcy Court - D. Guam,Bankr. D. Guam
http://lmss.sali.org/R83AdEoeP7V1UjvZuvvIHnz,Fraud and Deceit Based on Concealment,"Fraud and Deceit Based on Concealment refers to a legal claim that arises when one party intentionally hides or fails to disclose important information from another party, with the intention of deceiving them and causing them harm."
http://lmss.sali.org/R83C449455d54D308cbEEd03,Napak,Napak is a geographical location in Uganda.
http://lmss.sali.org/R83Du1u25vUg5RpyqZ1KgW1,Act or Omission by Public Employee,"An act or failure to act by a government employee that results in harm or injury to another person, which may give rise to a legal claim for damages under the doctrine of governmental tort liability."
http://lmss.sali.org/R83ET91Sr6xHVsZJo1HwuLK,Failure to Arbitrate,"The Failure to Arbitrate is a legal defense that arises when a party fails to comply with an agreement to resolve a dispute through arbitration, instead choosing to pursue litigation."
http://lmss.sali.org/R83FoHRbiFXoB967FPA4Orz,Fee Examiner,A Fee Examiner is an expert who specializes in reviewing and analyzing fees charged in legal matters.
http://lmss.sali.org/R83JjGd4oUxERjfQkgtr1ow,CLIENT_TAX_ID,"A unique identification number assigned to a client for tax purposes, as defined within the LEDES98BI V5 Format Rev 1-2020 standard."
http://lmss.sali.org/R83KlYn0nZmFcKlfV8j3oJX,Indiana Superior Court - Wabash County,"A court located in Wabash County, Indiana that has jurisdiction over civil and criminal cases within its geographical area."
http://lmss.sali.org/R83L28gsGPK5okbPvBrZgsD,Gaelic; Scottish Gaelic,"A language spoken in Scotland, also known as Scottish Gaelic."
http://lmss.sali.org/R83L5CYTxF381b9e5Rf2ZXH,Corrected Brief,A corrected brief is a written legal document submitted to an appellate court that revises errors or mistakes in a previously filed brief.
http://lmss.sali.org/R83NETokeA7aPycaE331ptC,Ad Hoc/Unofficial Committee,"An ad hoc committee is formed for a specific purpose, usually to solve a particular problem. In U.S. bankruptcy law, an Unofficial Committee means the informal committee comprised of certain of the debtors' larger unsecured creditors that was formed and active prior to the commencement date."
http://lmss.sali.org/R83QdGrsILzbGVfk0bqF1kw,Interview,"An interview is a type of discovery event where a person is questioned to obtain information relevant to a legal matter, including fact witness interviews and expert interviews."
http://lmss.sali.org/R83QnoAqN0L3ZwdIijon5Qc,US Chapter 11 Bankruptcy - Streamlined,"Provision used for less complex entities (e.g., small businesses). As defined by Subchapter V (11 USC 1181)"
http://lmss.sali.org/R83UWUYKu3YcZSTEGMuDtPi,Termination of Trust Agreement Clause,A Termination of Trust Agreement Clause is a provision in a legal document that outlines the conditions under which a trust agreement can be terminated.
http://lmss.sali.org/R83Ucy9EpZ0CdpCAKctT0N8,Waiver of Homestead Clause,"A Waiver of Homestead Clause is a legal provision that relinquishes the right to claim a homestead exemption in a property, typically used in mortgage agreements."
http://lmss.sali.org/R83VhHEeaRnvGWxfksxJUSc,"Electrical Equipment, Appliance, and Component Manufacturing","Industries in the Electrical Equipment, Appliance, and Component Manufacturing subsector manufacture products that generate, distribute, and use electrical power.  Electric Lighting Equipment Manufacturing establishments produce lighting fixtures, electric light bulbs, and parts (except glass parts and light emitting diodes (LEDs)), and other lighting equipment.  Household Appliance Manufacturing establishments make both small and major electrical appliances and parts.  Electrical Equipment Manufacturing establishments make goods, such as electric motors, generators, transformers, and switchgear apparatus.  Other Electrical Equipment and Component Manufacturing establishments make devices for storing electrical power (e.g., batteries), for transmitting electricity (e.g., insulated wire), and wiring devices (e.g., electrical outlets, fuse boxes, and light switches).
"
http://lmss.sali.org/R83WRxz2dPtxsI0LaTrsyhK,Chuloonawik Native Village,
http://lmss.sali.org/R83buoZjuTTqc9djnsDxCz2,Personal Jurisdiction by Fairness,"Personal Jurisdiction by Fairness refers to the authority of a court to hear a case based on the fairness of doing so, even if the defendant does not have sufficient minimum contacts with the forum state."
http://lmss.sali.org/R83g3yxVMvldcuWh3CMiaoR,"""Borrowing Base"" Definition",
http://lmss.sali.org/R83h4k9Hrvl8nKaSH4G3ry6,Separation Agreement,"A Separation Agreement is a written document that outlines the terms and conditions agreed upon by parties who are separating or divorcing, including issues such as property division, child custody, and support."
http://lmss.sali.org/R83jXbH05oRD7jScwyo0b1k,Motion for Jury Trial,A Motion for Jury Trial is a formal request made by a party in a legal case to have a trial by jury rather than a trial by judge.
http://lmss.sali.org/R83p0RbC6qaA2IK7dGerjye,Arkansas Circuit Court - Conway Cty.,"The Arkansas Circuit Court - Conway County is a specific court within the Arkansas Circuit Court system that has jurisdiction over legal matters within Conway County, Arkansas."
http://lmss.sali.org/R83rG2F2Gwg1Tptjt4tnm5M,Condominium Real Estate Asset,"A condominium real estate asset refers to a type of property ownership where an individual owns a unit within a larger building or complex and shares ownership of common areas with other unit owners. Unlike a single-family home, where the owner controls the entire property, in a condominium, the individual unit ownership is coupled with a proportional interest in communal facilities like hallways, gardens, and amenities."
http://lmss.sali.org/R83spgNoduHRVfnLcxe6nO5,LegalXML OASIS SCHEMA,"A LegalXML OASIS Schema is a standardized format for representing legal information and documents, developed by the Organization for the Advancement of Structured Information Standards (OASIS), and is a component of the Standards Compatibility ontology."
http://lmss.sali.org/R83uKCuShO8KiSdAlJZg8Ie,CFIUS Clearance,"CFIUS Clearance is the approval granted by the Committee on Foreign Investment in the United States for a foreign investment in a US business, which is subject to review and scrutiny to ensure that it does not pose a threat to national security."
http://lmss.sali.org/R8406Zo2MPPPcjJU6VjtB6,Village of Dot Lake,
http://lmss.sali.org/R8412a9C9Bd3d3BDb2b2913f,Si Sa Ket,Si Sa Ket is a province in Thailand.
http://lmss.sali.org/R842065176a4c5B20683539f,U.S. District Court - E.D. Louisiana.,E.D. La.
http://lmss.sali.org/R8428LJEfCIiJBkESQPpEhQ,Obligor,"An obligor is a person, organization, or entity that is legally bound to perform a specific duty or pay a certain amount to another party, known as the obligee. The term is commonly used in contract law, finance, and other legal contexts to identify the party with the obligation to fulfill the terms of a contract, loan, or other legal arrangement."
http://lmss.sali.org/R842QjnVolhQDmSifM9wDIV,JC10 Factual investigation (UK J-CODE),Work required to understand the facts of the case including instructions from the client and the identification of potential witnesses
http://lmss.sali.org/R8444949CA6b494A970AD0f1,U.S. District Court - Virgin Islands,D.V.I.
http://lmss.sali.org/R8450guOZIBGdYrzEvAm06r,Slana,
http://lmss.sali.org/R845a5cC16ab82AB77aDA091,Clare,"Clare refers to a specific location in Ireland, which is a county situated in the mid-west region of the country."
http://lmss.sali.org/R845hSkIeHE4QF5ItHg8vTT,Right to Collect Rent,"The Right to Collect Rent refers to the legal authority granted to a property owner or designated agent to receive a specified sum from tenants in exchange for the use of a property. This right is typically outlined in a lease agreement, and failure by the tenant to pay rent may result in legal actions such as eviction, subject to terms of the lease and applicable law"
http://lmss.sali.org/R8464a97FC371503a9e326f0,Tlaxcala,"Committee Definition: A term of law which refers to a body of one or more persons appointed by a larger assembly or society, to consider, investigate and/or take action on certain specific matters. Committees are either standing or ad hoc (this latter kind is also known as a ""special committee"")"
http://lmss.sali.org/R847af262Aef8663fd585f44,Isla,"An ""Isla"" is a landmass that is surrounded by water and smaller than a continent, specifically referring to the island of Malta."
http://lmss.sali.org/R848DNOwHrHfN47WK2Khw8i,Motion to Limit Exclusivity Period,"A Motion to Limit Exclusivity Period is a request made in a bankruptcy case to shorten the time period during which only the debtor can file a reorganization plan, allowing other parties to propose their own plans."
http://lmss.sali.org/R8493389DDb828F39e40Bb7b,Retalhuleu,Locations used: Vietnam
http://lmss.sali.org/R849a757EA730A2A4b1B9266,Bolivia,
http://lmss.sali.org/R84A991C8A538E43dbaEF0ec,Al Qahirah,
http://lmss.sali.org/R84ATa3iuajgEokTAvoG7Pm,DUPLICATE Motion to Withdraw as Attorney,"A ""Duplicate Motion to Withdraw as Attorney"" refers to a request made by an attorney to withdraw from representing a client in a legal matter, which has already been filed previously and is a duplicate of the original motion."
http://lmss.sali.org/R84B06aE39d1aECC0f2F6b0e,Shaviyani,"Shaviyani is a subdivision of the Maldives, located in the northern part of the country."
http://lmss.sali.org/R84Bb30349da3D80a7902d2b,Bender,
http://lmss.sali.org/R84Bd3fB96c630E85ebF13ef,Arkansas Court of Appeals,Ark. Ct. App.
http://lmss.sali.org/R84Bh279J4AAJWTkbWMH6RX,Ponca,
http://lmss.sali.org/R84C101F48010FAAfc88A5de,Lodzkie,Lodzkie is a region in Poland.
http://lmss.sali.org/R84C884F2F508443c8bC3d5a,Chatham Islands Territory,
http://lmss.sali.org/R84CWDGLF9yAf5x35sd8mDK,Missouri Circuit Court - Henry County,"Missouri Circuit Court - Henry County: A specific court within the Missouri Circuit Court system that has jurisdiction over legal matters within Henry County, Missouri."
http://lmss.sali.org/R84Ce1b5298e392Eca2BE431,Kaberamaido,Kaberamaido is a district in Uganda.
http://lmss.sali.org/R84F2ec0D85833EB47bCD2e2,Bangui,
http://lmss.sali.org/R84K4Nv1zRRqSIU4YEOUSdH,Analysis of Pre-Petition Lien Issues,Analysis of Pre-Petition Lien Issues refers to the examination and evaluation of any legal claims or encumbrances on property that arise before the filing of a bankruptcy petition.
http://lmss.sali.org/R84N0KXivn5IJaQn8xVwPDg,Intentional Infliction of Emotional Distress,"The intentional causing of severe emotional distress through extreme and outrageous conduct, resulting in harm to the victim."
http://lmss.sali.org/R84OEP4CfOdocUXySLymitN,Renewable Energy Law,Laws pertaining to renewable energy.
http://lmss.sali.org/R84Q93fuCHiuIsUChEPJDxr,UTBMS MI00 Integration Matters,"The UTBMS MI00 Integration Matters concept refers to the specific task code used in the UTBMS Mergers and Acquisitions (M&A) category for legal billing, which covers the integration of two or more entities."
http://lmss.sali.org/R84Rns2UsbgWnMnQCnF0VpU,Seizure,"Seizure, within the legal domain, refers to the act of legally taking possession of persons or property by law enforcement or other authorities, typically because the persons or property are suspected of being involved in, or evidence of, illegal activity."
http://lmss.sali.org/R84TkU0j0hhqhiA5fYd6Bfb,Social Security Claims,"A claim made under the Social Security program, which provides benefits to eligible individuals based on their contributions to the program, or in some cases, based on their status as a dependent or survivor of a contributor."
http://lmss.sali.org/R84gW7mDt6mhdlJFDZ27Jwf,Texas Court of Appeals - 2d,The Texas Court of Appeals - 2d is a specific intermediate appellate court in Texas that hears appeals from lower courts within its jurisdiction.
http://lmss.sali.org/R84ixwXrvkKsyCQNmplwY8,Texas District Court - Parker County,Texas District Court - Parker County: A court of law in Texas that has jurisdiction over legal cases within Parker County.
http://lmss.sali.org/R84qjB888ZV4h7IpZykHrdB,Arkansas Circuit Court - Faulkner Cty.,"The Arkansas Circuit Court - Faulkner Cty. is a specific court within the Arkansas Circuit Court system that has jurisdiction over legal matters within Faulkner County, Arkansas."
http://lmss.sali.org/R84wrGz5I82joOk2zeHphMe,Discharge of Mortgage,"The Discharge of Mortgage is a legal concept that refers to the release of a mortgage lien on a property, typically after the mortgage has been paid in full or otherwise satisfied."
http://lmss.sali.org/R85176e19Bfb30107446E726,Yukon,"Yukon is a territory in Canada, located in the northwest region of the country."
http://lmss.sali.org/R851aaa51097608Fd5cE2208,Sanguie,Locations used: Kazakhstan
http://lmss.sali.org/R851e06444c89C9Ef399Dc61,Thaba-Tseka,Thaba-Tseka is a district in Lesotho.
http://lmss.sali.org/R8528502FAe34ED5e4679675,U.S. Bankruptcy Court - W.D. Wisconsin,Bankr. W.D. Wis.
http://lmss.sali.org/R8543ea8FCc458661ff9E314,Narayani,"Narayani refers to a specific location in Nepal, which is a province or a district within the country."
http://lmss.sali.org/R8551d91A26a5D18fcb62854,Castilla y Leon,Castilla y Leon is a region in Spain.
http://lmss.sali.org/R8555b1DD3eab76Da64C13bc,Saitama,
http://lmss.sali.org/R855VzWlwJfhQ93qKVKTPrB,Work Holiday,
http://lmss.sali.org/R85616946C0e47A2bb35Ea2d,Bureau of Prisons,"The Federal Bureau of Prisons (BOP) is a United States federal law enforcement agency. A subdivision of the U.S. Department of Justice, the BOP is responsible for the administration of the federal prison system."
http://lmss.sali.org/R856539384d8cBE74e21Cf0c,San Marcos,Locations used: Samoa
http://lmss.sali.org/R856uwdSyc5Lfpm3Hghf1f0,Printing and Related Support Activities,"Industries in the Printing and Related Support Activities subsector print products, such as newspapers, books, labels, business cards, stationery, business forms, and other materials, and perform support activities, such as data imaging, platemaking services, and bookbinding.  The support activities included here are an integral part of the printing industry, and a product (a printing plate, a bound book, or a computer disk or file) that is an integral part of the printing industry is almost always provided by these operations.

Processes used in printing include a variety of methods used to transfer an image from a plate, screen, film, or computer file to some medium, such as paper, plastics, metal, textile articles, or wood.  The printing processes employed include, but are not limited to, lithographic, gravure, screen, flexographic, digital, and letterpress.

In contrast to many other classification systems that locate publishing of printed materials in manufacturing, NAICS classifies the publishing of printed products in Subsector 513, Publishing Industries.  Though printing and publishing are often carried out by the same enterprise, it is less and less the case that these distinct activities are carried out in the same establishment.  When publishing and printing are done in the same establishment, the establishment is classified in Subsector 513, Publishing Industries, in the appropriate NAICS industry even if the receipts for printing exceed those for publishing.

This subsector includes printing on clothing because the production process for that activity is printing, not clothing manufacturing.  For instance, the printing of T-shirts is included in this subsector.  In contrast, printing on fabric (or grey goods) is not included.  This activity is part of the process of finishing the fabric and is included in Industry 31331, Textile and Fabric Finishing Mills.

Excluded from this subsector are establishment primarily engaged in manufacturing bare printed circuit boards.  These establishments print, perforate, plate, screen, etch, or photoprint interconnecting pathways for electric current on laminates and are classified in Industry 33441, Semiconductor and Other Electronic Component Manufacturing.  Establishments primarily providing printing brokerage services are classified in Industry 56199, All Other Support Services.
"
http://lmss.sali.org/R8581ea8B7717D0697b89668,Salavan,Salavan is a province in the Lao People's Democratic Republic.
http://lmss.sali.org/R85924a84712a9821b8E18b1,Mine Safety and Health Administration,"The Mine Safety and Health Administration (MSHA) is an agency of the United States Department of Labor which administers the provisions of the Federal Mine Safety and Health Act of 1977 (Mine Act) to enforce compliance with mandatory safety and health standards as a means to eliminate fatal accidents, to reduce the frequency and severity of nonfatal accidents, to minimize health hazards, and to promote improved safety and health conditions in the nation's mines."
http://lmss.sali.org/R85AKnwrmZAvyfrKc9EyqHa,Washington Superior Court - Pend Oreille County,Washington Superior Court - Pend Oreille County refers to a specific court within the Washington Superior Court system that has jurisdiction over legal matters in Pend Oreille County.
http://lmss.sali.org/R85Ab629878bc70B96546d57,Ngounie,
http://lmss.sali.org/R85B358355c7c8FDecdD7665,Honduran lempira,Locations used: Honduras
http://lmss.sali.org/R85BLSakJPEy7c7KvxZyOe,Administrative Proceeding Forum,"An Administrative Proceeding Forum is a type of Dispute Forum that is responsible for overseeing legal proceedings related to administrative law, such as tax, workers' compensation, and immigration cases."
http://lmss.sali.org/R85Ce26FE52949FCd25ED3e6,Wyoming Supreme Court,Wyo.
http://lmss.sali.org/R85DLMjZ3oxqhMBJQWE5e1X,"Summit Lake Paiute Tribe of Nevada 6059 Susanville Indian Rancheria, California",
http://lmss.sali.org/R85Datx36zz4sBBoEYxCByw,Governmental Representative,"A governmental representative is an individual elected or appointed to act on behalf of a larger group of citizens within a governmental system. Examples include presidents, prime ministers, legislators, or council members, each holding specific roles and responsibilities within their respective branches of government."
http://lmss.sali.org/R85Eea2D013eb162a12822c4,Morobe,
http://lmss.sali.org/R85F05e59F38b280d75E902b,Dornod,Dornod is a region in Mongolia.
http://lmss.sali.org/R85F2f93E5069894c5fFD3e8,Delaware Supreme Court,Del.
http://lmss.sali.org/R85F3aaAA08d13A48d0854ce,Administrative Conference of the United States,"ACUS is an independent U.S. federal agency charged with convening expert representatives from the public and private sectors to recommend improvements to administrative process and procedure. ACUS initiatives promote efficiency, participation, and fairness in the promulgation of federal regulations and in the administration of federal programs."
http://lmss.sali.org/R85F92e9B6d6208E7905354d,Rankovce,
http://lmss.sali.org/R85GBPOTDZA0IfWrEbj7z8t,JG20 Reviewing Other Party witness statement (UK J-CODE),"Considering Other Party(s)' witness statements, affidavits, witness summaries, Civil Evidence Act or similar notices, reviewing same in context of other evidence and material, considering strategy to deal with issues raised."
http://lmss.sali.org/R85GQaqi3P8fuEDkEpx55YE,Industrial Injury Claims,"Industrial Injury Claims refer to legal claims made by individuals who have suffered harm or injury while working in an industrial setting, such as a factory or construction site."
http://lmss.sali.org/R85H4hDZWq92xwwBFP7WCtM,Alternative Dispute Resolution Practice,The use of methods such as mediation and arbitration to resolve a dispute instead of litigation.
http://lmss.sali.org/R85MNuBfi7N5JNU93i6kTl0,Firearms License,"A firearms license is an official document granted by a governing authority that permits an individual to purchase, possess, or carry firearms, subject to certain conditions and regulations. The requirements, procedures, and restrictions for obtaining and maintaining such a license vary by jurisdiction, often involving background checks, safety courses, and other criteria."
http://lmss.sali.org/R85OMPBjCJJv2cpg2RCwYim,Dispute Forum,A Dispute Forum is a type of organization or government entity that oversees legal proceedings related to conflicts or disagreements between parties.
http://lmss.sali.org/R85ROCHKXK0EXOkRBQnbq6X,Georgia Superior Court - Crisp County,"Georgia Superior Court - Crisp County refers to a specific court within the Georgia Superior Court system that has jurisdiction over criminal and civil cases in Crisp County, Georgia."
http://lmss.sali.org/R85TzKtWNZjaM8WG5afwX5y,Oregon Circuit Court - Malheur County,"The Oregon Circuit Court - Malheur County is a specific court within the Oregon Circuit Court system that has jurisdiction over legal proceedings in Malheur County, Oregon."
http://lmss.sali.org/R85VD0QLNj5oGW4LrvZ8p86,Employment Agreement,"An Employment Agreement is a legally binding contract between an employer and an employee that outlines the terms and conditions of their working relationship, including compensation, benefits, and responsibilities."
http://lmss.sali.org/R85WyAGs742rbnccHqEzNMP,Illinois Circuit Court - Cook County,"Illinois Circuit Court - Cook County refers to a specific court within the Illinois Circuit Court system that has jurisdiction over legal matters in Cook County, Illinois."
http://lmss.sali.org/R85ZlDo0jOgDOh2Luk1v4rg,Georgia District Court - Cobb County,"Georgia District Court - Cobb County: A specific court within the Georgia District Court system located in Cobb County, responsible for administering legal proceedings within its jurisdiction."
http://lmss.sali.org/R85dMYhguubdyPOQ5zKsXrc,RTF,A rich text file (RTF).
http://lmss.sali.org/R85duVZEHXyts6z5ITtUAyz,Renewal Option Clause,A Renewal Option Clause is a provision in a contract that grants one or both parties the right to extend the term of the agreement for an additional period of time upon the expiration of the initial term.
http://lmss.sali.org/R85ejLDDS4Dy9Dwr5erdBtQ,Bankruptcy Initial Routine Motions,"Bankruptcy Initial Routine Motions refer to the standard motions filed at the beginning of a bankruptcy case, such as motions for relief from automatic stay or to use cash collateral, which are typically granted without a hearing."
http://lmss.sali.org/R85iYdxQksiMhbanDehHPNn,Arkansas Circuit Court - White Cty.,"A court located in White County, Arkansas that has jurisdiction over civil and criminal cases within its designated geographical area."
