Clause Heading,Clause Content
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"Seller is hereby expressly put on notice that the Declarations of Trust or the Certificates and Agreements of Limited Partnership, as the case may be, of each Participating Fund contain a limitation of liability provision pursuant to which the obligations assumed by such Participating Fund hereunder shall be limited in all cases to such Participating Fund and its assets or, in the case of a series Fund, to the assets of that series only, and neither Seller nor its respective agents or assigns shall seek satisfaction of any such obligation from the officers, employees, agents, directors, trustees, shareholders or partners of any such Participating Fund or series."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"Repo Custodian and Seller are hereby expressly put on notice of the limitation of liability set forth in the Declarations of Trust and in the Certificates and Agreements of Limited Partnership of the Funds and agree that the obligations assumed by any Fund hereunder shall be limited in all cases to a Fund and its assets or, in the case of a series Fund, to the assets of that series only, and neither Seller, Repo Custodian nor their respective agents or assigns shall seek satisfaction of any such obligation from the officers, agents, employees, directors, trustees, shareholders or partners of any such Fund or series."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Japan Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Japan Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Japan Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
limitation of liability,"The Sub-Advisor is hereby expressly put on notice of the limitation of shareholder liability as set forth in the Declaration of Trust or other organizational document of the Trust and agrees that any obligations of the Trust or the Portfolio arising in connection with this Agreement shall be limited in all cases to the Portfolio and its assets, and the Sub-Advisor shall not seek satisfaction of any such obligation from the shareholders or any shareholder of the Portfolio. Nor shall the Sub-Advisor seek satisfaction of any such obligation from the Trustees or any individual Trustee."
compliance with laws,"(a) Each of Parent and Seller is in compliance in all material respects with, and is not in default or violation in any material respect under, and has not conducted its operations in violation in any material respect of, any law, rule, regulation, decree or order applicable to the Business or the Acquired Assets."
compliance with laws,"(a) Purchaser is in compliance in all material respects with, and is not in default or violation in any material respect under, and has not conducted its operations in violation in any material respect of, any applicable law, rule, regulation, decree or order."
compliance with laws,"Tenant shall be solely responsible for ensuring that the Leased Premises and Tenant’s occupancy and use thereof are in compliance with all applicable laws, ordinances, rules, orders, regulations and requirements of all governmental authorities with jurisdiction over the Leased Premises or the operations of Tenant, including without limitation all environmental, accessibility, zoning and land use laws."
compliance with laws,"The Seller and the Servicer shall be in compliance in all respects with all applicable foreign, federal, state and local laws and regulations, including those specifically referenced in Section 5.01(a) , except where such failure to comply does not have a Material Adverse Effect."
compliance with laws,"The Seller will comply, and will cause each other Bergen Entity to comply, with all laws, regulations, judgments and other directions or orders imposed by any Governmental Authority to which such Person or any Transferred Receivable or Seller Collateral may be subject, except to the extent non-compliance would not have a Material Adverse Effect."
compliance with laws,"The Company is, and at all times has been, in material compliance with all laws and governmental rules and regulations, domestic or foreign, including, without limitation, the Advisers Act, the Commodity Exchange Act,  ERISA, the Exchange Act, the Investment Company Act, and the Securities Act and the regulations promulgated under each of them; the rules and regulations of self-regulatory organizations including, without limitation, the NASD and each applicable exchange (as defined under the Exchange Act); and all other foreign, federal or state securities laws and regulations applicable to the business or affairs or properties or assets of the Company (collectively “Investment Laws and Regulations”).  Neither the Company nor, to the knowledge of the Company Parties, any officer, director, stockholder, partner or employee thereof, is in default with respect to any judgment, order, writ, injunction, decree, demand or assessment issued by any court or any foreign, federal, state, municipal or other governmental agency, board, commission, bureau, instrumentality or department, domestic or foreign, or by any self-regulatory authority relating to any aspect of the business or affairs or properties or assets of the Company or which could give rise to an affirmative answer to any of the questions in Item 11, Part I of the Form ADV of the Company.  None of the Company or any officer, director, stockholder, partner or employee thereof, is charged or, to the knowledge of the Company Parties, threatened with, or under investigation with respect to, any violation of any provision of foreign, federal, state, municipal or other law or any administrative rule or regulation, domestic or foreign, including, without limitation, any Investment Laws and Regulations, affecting the Company or the transactions contemplated hereby or which could give rise to an affirmative answer to any of the questions in Item 11, Part I of the Form ADV of the Company."
compliance with laws,"SCM assumes no responsibilities under this Agreement other than to render the services called for hereunder, on the terms and conditions provided herein. SCM shall comply with all applicable federal and state laws and regulations. SCM represents and warrants to the Funds that the performance of all its obligations hereunder will comply with all applicable laws and regulations, the provisions of its articles of incorporation and by-laws and all material contractual obligations binding upon SCM. SCM furthermore undertakes that it will promptly inform the Funds of any change in applicable laws or regulations (or interpretations thereof) which would prevent or impair full performance of any of its obligations hereunder."
compliance with laws,"To the best of the knowledge of the officers of the Parent and Borrower, the Parent, Borrower and Borrower's Subsidiaries have complied with all laws, rules, regulations, orders and restrictions of any domestic or foreign government or any instrumentality or agency thereof having jurisdiction over the conduct of their respective businesses or the ownership of their respective Property, including, without limitation, Regulation U, T and X of the Board of Governors of the Federal Reserve System, and all Environmental Laws, except for any failure to comply with any of the foregoing which could not reasonably be expected to have a Material Adverse Effect."
compliance with laws,"To the knowledge of the Company and the Sellers, the Company and the Subsidiary have complied in all material respects, and are in compliance in all material respects, with all federal, state, county, and local laws, regulations, and orders applicable to their business and have filed with the proper authorities all statements and reports required by the laws, regulations, and orders to which the Company or the Subsidiary or any of their respective properties or operations are subject. No claim has been made by any governmental authority (and, to the knowledge of the Company and the Sellers, no such claim is anticipated) to the effect that the business conducted by the Company or the Subsidiary fails to comply, in any respect, with any law, rule, regulation, or ordinance."
compliance with laws,"The Company shall comply, and cause each subsidiary to comply, with all applicable laws, rules, regulations and orders, noncompliance with which could have a Material Adverse Effect."
compliance with laws,"Except as disclosed in Item 6.16 of the Disclosure Schedule, the U.S. Borrower and its Subsidiaries have complied in all material respects with all applicable statutes, rules, regulations, orders and restrictions of any domestic or foreign government, or any instrumentality or agency thereof, having jurisdiction over the conduct of its businesses or the ownership of its properties, including those relating to public health and safety and protection of the environment, except to the extent such compliance could not reasonably be expected to have a Material Adverse Effect. Neither the U.S. Borrower nor any of its Subsidiaries has received any notice to the effect that its operations are not in material compliance with any of the requirements of applicable federal, state and local environmental, health and safety statutes and regulations or are the subject of any federal or state investigation evaluating whether any remedial action is needed to respond to a release of any toxic or hazardous waste or substance into the environment, which non-compliance or remedial action could be reasonably expected to have a Material Adverse Effect. The U.S. Borrower and its Subsidiaries have obtained all authorizations necessary and appropriate to own and operate their businesses and all such authorizations are in full force and effect, except where the failure to so obtain such authorizations or to so keep such authorizations in full force and effect could not be reasonably expected to have a Material Adverse Effect."
compliance with laws,"The Seller and the Servicer shall be in compliance in all respects with all applicable foreign, federal, state and local laws and regulations, including those specifically referenced in Section 5.01(a) , except where such failure to comply does not have a Material Adverse Effect."
compliance with laws,"The Seller will comply, and will cause each other Bergen Entity to comply, with all laws, regulations, judgments and other directions or orders imposed by any Governmental Authority to which such Person or any Transferred Receivable or Seller Collateral may be subject, except to the extent non-compliance would not have a Material Adverse Effect."
compliance with laws,"Except as disclosed in Schedule 5.24, each of Seller and the Seller Subsidiaries is in compliance with all applicable Laws with respect to the ownership or operation of the Purchased Assets except where the failure to be in compliance would not, individually or in the aggregate, create a Material Adverse Effect."
compliance with laws,"(a) Each of Parent and Seller is in compliance in all material respects with, and is not in default or violation in any material respect under, and has not conducted its operations in violation in any material respect of, any law, rule, regulation, decree or order applicable to the Business or the Acquired Assets."
compliance with laws,"(a) Purchaser is in compliance in all material respects with, and is not in default or violation in any material respect under, and has not conducted its operations in violation in any material respect of, any applicable law, rule, regulation, decree or order."
compliance with laws,"Tenant shall be solely responsible for ensuring that the Leased Premises and Tenant’s occupancy and use thereof are in compliance with all applicable laws, ordinances, rules, orders, regulations and requirements of all governmental authorities with jurisdiction over the Leased Premises or the operations of Tenant, including without limitation all environmental, accessibility, zoning and land use laws."
compliance with laws,"Borrower and its subsidiaries and affiliates shall keep, observe, satisfy and not suffer violations of any and all laws, statutes, ordinances and/or regulations."
compliance with laws,"PFPC Trust undertakes to comply with all applicable requirements of the Securities Laws and any laws, rules and regulations of governmental authorities having jurisdiction with respect to the duties to be performed by PFPC Trust hereunder. Except as specifically set forth herein, PFPC Trust assumes no responsibility for such compliance by the Fund or any Portfolio."
compliance with laws,"Borrower is in compliance in all material respects with all laws, rules and regulations, orders of court or other governmental bodies, applicable to it including, without limitation, all environmental, health and safety statutes and regulations.  Borrower is not subject to any judicial or administrative proceedings alleging the violation of any applicable law or regulation."
compliance with laws,"Borrower and its subsidiaries and affiliates shall keep, observe, satisfy and not suffer violations of any and all laws, statutes, ordinances and/or regulations."
compliance with laws,"Except as set forth on Schedule 4.16 , Seller is in material compliance with all applicable statutes, laws and Governmental Requirements pertaining to the Business and the Purchased Assets, and Seller has not received notice of any violation of any such statutes, laws or Governmental Requirements, including, without limiting the generality of the foregoing, any notice from any Governmental Authority having jurisdiction over Seller as to any violation of any building, fire, environmental, health, immigration or other Governmental Requirement pertaining to the Business or the Purchased Assets."
compliance with laws,"The Borrower and its Restricted Subsidiaries have complied with all applicable statutes, rules, regulations, orders and restrictions of any domestic or foreign government or any instrumentality or agency thereof having jurisdiction over the conduct of their respective businesses or the ownership of their respective Property."
compliance with laws,"The Borrower will, and will cause (i) each Restricted Subsidiary to, comply in all material respects with all laws, rules, regulations, orders, writs, judgments, injunctions, decrees or awards to which it may be subject including, without limitation, all Environmental Laws and (ii) each Unrestricted Subsidiary to, comply in all material respects with all laws, rules, regulations, orders, writs, judgments, injunctions, decrees or awards to which it may be subject including, without limitation, all Environmental Laws, except where the failure to do so, either individually or in the aggregate, could not reasonably be expected to result in a Material Adverse Effect."
compliance with laws,"Comply in all respects with all applicable laws, rules, regulations and orders."
compliance with laws,"The Borrower will, and will cause each Subsidiary to, comply with all laws, rules, regulations, orders, writs, judgments, injunctions, decrees or awards to which it may be subject (including ERISA and applicable Environmental Laws), except where the failure to so comply could not reasonably be expected to have a Material Adverse Effect."
compliance with laws,"The Guarantor and its Subsidiaries have complied with all applicable statutes, rules, regulations, orders and restrictions of any domestic or foreign government or any instrumentality or agency thereof having jurisdiction over the conduct of their respective businesses or the ownership of their respective Property, except to the extent that the failure to so comply would not result in a Material Adverse Effect, and except laws, rules, regulations, judgments, injunctions or awards being contested in good faith."
compliance with laws,"The Borrower will, and will cause each Subsidiary to, comply with all laws, rules, regulations, orders, writs, judgments, injunctions, decrees or awards to which it may be subject (including ERISA and applicable Environmental Laws), except where the failure to so comply could not reasonably be expected to have a Material Adverse Effect."
compliance with laws,"The Guarantor and its Subsidiaries have complied with all applicable statutes, rules, regulations, orders and restrictions of any domestic or foreign government or any instrumentality or agency thereof having jurisdiction over the conduct of their respective businesses or the ownership of their respective Property, except to the extent that the failure to so comply would not result in a Material Adverse Effect, and except laws, rules, regulations, judgments, injunctions or awards being contested in good faith."
compliance with laws,"Tenant shall comply with all Legal Requirements and keep all Government Authorizations in full force and effect. Tenant shall pay when due all taxes and governmental charges of every kind and nature that are assessed or imposed upon Tenant at any time during the term of the Lease, including, without limitation, all income, franchise, capital stock, property, sales and use, business, intangible, employee withholding, and all taxes and charges relating to Tenant's business and operations. Tenant shall be solely responsible for compliance with all Legal Requirements, including the ADA, and Landlord shall have no responsibility for such compliance."
compliance with laws,"To the best of Tenant's knowledge, the Leased Property is not in material violation of, or noncompliance with, [i] Government Authorizations or; [ii] any covenants, conditions, restrictions or agreements affecting or relating to the ownership, use or occupancy of the Facility; or [iii] any order, writ, regulation or decree relating to any matter referred to in [i] or [ii] above."
compliance with laws,"Except for a failure to do so that would not have a Material Adverse Effect, the Company shall comply, and shall cause each Subsidiary to comply, with all Requirements of Law of any Governmental Authority having jurisdiction over it or its business (including the Federal Fair Labor Standards Act)."
compliance with laws,"The Company will comply with all laws, rules, regulations and orders of any Governmental Authority applicable to it or its property, except where the failure to do so, individually or in the aggregate, could not reasonably be expected to result in a Material Adverse Effect."
compliance with laws,"The business of Forman has been and is being conducted and its assets have been and are being operated, in all material respects, in compliance with all statutes, laws, rules or regulations or any judgment, order, writ, injunction or decree of any Governmental Entity to which a specified Person or its property is subject (the ""Applicable Laws""), and Forman has not received notice of any violations or deficiencies by it or investigations or other inquiries with respect to it or its assets, in each case, from, nor is Forman in default with respect to any order, writ, judgment, award, injunction or other decree of, any Governmental Entity employee or third party under any Applicable Law, and no such investigation or inquiry is planned or threatened."
compliance with laws,"To the best of Contributors' Knowledge, the Company has, in the operation of the Business, duly complied with all laws and regulations of federal, state, and local governments relating to the Business, and the Company is not in default with respect to any written order, judgment, writ, injunction, decree, award, rule or regulation applicable to the Business of any court, governmental or regulatory body or arbitrator and, to the best of Contributors' Knowledge, no event has occurred which with written notice or the passage of time or both would constitute such a default. Other than as set forth on EXHIBIT 4.15 , the Company has not received written notice of any violation of any law or regulation of any federal, state, or local government relating to the Business."
