Clause Heading,Clause Content
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
counterparts,"This Agreement may be executed simultaneously in any number of counterparts, each of which counterparts shall be deemed to be an original and such counterparts shall constitute but one and the same instrument."
amendment,"At any time before or after approval and adoption by the shareholders of DIT and prior to the Effective Date, this Agreement and Plan of Merger may be amended in any manner as may be determined in the judgment of the respective Boards of Directors of DIT to be necessary, desirable or expedient; provided, however, that, after approval of the shareholders of DIT, such amendment may not materially and adversely affect the rights and interests of the shareholders of DIT."
amendment,"Neither this Agreement nor any provisions hereof may be changed, waived, discharged or terminated orally or in any manner other than by an instrument in writing signed by the party against whom enforcement of the change, waiver, discharge or termination is sought."
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of MBIA.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of MBIA.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of MBIA.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of MBIA.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of FSA.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of MBIA.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of MBIA.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of MBIA.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of MBIA.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto.
amendment,This Agreement may be amended from time to time by written agreement signed by each of the parties hereto and the written consent of MBIA.
amendment,"This Agreement may be amended by mutual consent of the parties, provided that the terms of each such amendment shall be approved by the vote of a majority of the Board of Directors of the Corporation, including a majority of the Directors who are not parties to this Agreement or interested persons of any such party to this Agreement (other than as Directors of the Corporation) cast in person at a meeting called for that purpose, and, where required by Section 15(a)(2) of the 1940 Act, on behalf of a Portfolio by a majority of the outstanding voting securities (as defined in Section 2(a)(42) of the 1940 Act) of such Portfolio. If such amendment is proposed in order to comply with the recommendations or requirements of the Securities and Exchange Commission or state regulatory bodies or other governmental authority, or to obtain any advantage under state or federal laws, the Corporation shall notify the Adviser of the form of amendment which it deems necessary or advisable and the reasons therefor, and if the Adviser declines to assent to such amendment, the Corporation may terminate this Agreement forthwith."
amendment,"This Agreement may be amended by the mutual written consent of the parties. If, at any time during the existence of this Agreement, the Corporation deems it necessary or advisable in the best interests of the Corporation that any amendment of this Agreement be made in order to comply with the recommendations or requirements of the Securities and Exchange Commission or state regulatory agencies or other governmental authority, or to obtain any advantage under state or federal laws, the Corporation shall notify Strong of the form of amendment which it deems necessary or advisable and the reasons therefor, and if Strong declines to assent to such amendment, the Corporation may terminate this Agreement forthwith."
amendment,This Agreement cannot be amended or modified except by a written agreement executed by the parties hereto.
amendment,This Agreement may be amended or modified only by a written instrument executed by both the Company and the Employee.
amendment,This Agreement may be amended or modified only by a written instrument signed by the Executive and by a duly authorized representative of the Company.
amendment,"(a)  This Agreement may be amended from time to time by the Depositor and the Trustee without notice to or the consent of any of the Certificateholders for any of the following purposes: (i) to cure any ambiguity or to correct or supplement any provision herein which may be defective or inconsistent with any other provision herein; (ii) to add or supplement any Credit Support for the benefit of any Certificateholders (provided that if any such addition affects any series or class of Certificateholders differently that any other series or class of Certificateholders, then such addition will not, as evidenced by an opinion of counsel, have a material adverse effect on the interests of any affected series or class of Certificateholders); (iii) to add to the covenants, restrictions or obligations of the Depositor, the Administrative Agent, if any, or the Trustee for the benefit of the Certificateholders; (iv) to add, change or eliminate any other provisions with respect to matters or questions arising under this Agreement, so long as (x) any such amendment described in (i) through (iv) will not, as evidenced by an opinion of counsel, cause the Trust (unless otherwise specified in a related Series Supplement) to fail to qualify as a grantor trust for federal income tax purposes or result in a sale or exchange of any Certificate for tax purposes and (y) the Trustee has received written confirmation from each Rating Agency rating such Certificates that such amendment will not cause such Rating Agency rating such Certificates to reduce or withdraw the then current rating thereof; (v) to comply with any requirements imposed by the Code; (vi) to evidence and provide for the acceptance of appointment hereunder of a Trustee other than U.S. Bank National Association, as Trustee for a Series of Certificates, and to add to or change any of the provisions of this Agreement as shall be necessary to provide for or facilitate the administration of the separate Trusts hereunder by more than one Trustee, pursuant to the requirements of Section 5.1 hereof; (vii) to evidence and provide for the acceptance of appointment hereunder by a successor Trustee with respect to the Certificates of one or more Series or to add or change any of the provisions of this Agreement as shall be necessary to provide for or facilitate the administration of the trusts hereunder; or (viii) to provide for the issuance of a new Series of Certificates pursuant to a Series Supplement issued hereunder pursuant to Sections 5.1 and 5.13 hereof."
amendment,This Agreement may be amended or modified only by a written instrument signed by the Executive and by a duly authorized representative of the Company.
amendment,This Agreement may be amended or modified only by a written instrument signed by the Executive and by a duly authorized representative of the Company.
amendment,"This Agreement may not be amended or modified except by an instrument in writing signed by each of, or on behalf of each of, the parties. This Agreement may be amended or supplemented in writing by the parties hereto with respect to any of the terms contained in this Agreement."
amendment,This Agreement may be amended or modified only by a written instrument signed by the Executive and by a duly authorized representative of the Company.
amendment,"No amendment, modification or supplement of any provisions of this Agreement or the Appendices thereto (except with respect to the addition or deletion of Targets) shall be valid or effective unless made in writing and signed by a duly authorized officer of each party."
amendment,This Agreement may be amended or modified only by a written instrument signed by the Executive and by a duly authorized representative of the Company.
amendment,This Agreement may be amended or modified only by a written instrument signed by the Executive and by a duly authorized representative of the Company.
amendment,This Agreement may be amended only by means of a written instrument executed and delivered by both the Stockholder and Parent.
amendment,"At such time as any shares of Series A Preferred Stock are outstanding, the Certificate of Incorporation, as amended, of the Corporation shall not be amended in any manner which would materially alter or change the powers, preferences or special rights of the Series A Preferred Stock so as to affect them adversely without the affirmative vote of the holders of at least two-thirds of the outstanding shares of Series A Preferred Stock, voting together as a single class."
amendment,"At any time before or after approval and adoption by the shareholders of DIT and prior to the Effective Date, this Agreement and Plan of Merger may be amended in any manner as may be determined in the judgment of the respective Boards of Directors of DIT to be necessary, desirable or expedient; provided, however, that, after approval of the shareholders of DIT, such amendment may not materially and adversely affect the rights and interests of the shareholders of DIT."
amendment,This Warrant may be modified or amended or the provisions hereof waived with the written consent of the Company and the Holder.
amendment,"No amendment, modification, termination or cancellation of this Agreement shall be effective unless made in writing signed by the Company and Indemnitee. Notwithstanding any amendment, modification, termination or cancellation of this Agreement or any portion hereof, Indemnitee shall be entitled to indemnification in accordance with the provisions hereof with respect to any acts or omissions of Indemnitee which occur prior to such amendment, modification, termination or cancellation."
amendment,"This Agreement shall be binding upon and inure to the benefit of the heirs, executors, administrators, legal representatives, successors and assigns of the parties. This Agreement may be amended or modified only in writing signed by all of the parties hereto; provided that the holders of sixty-six and two-thirds percent (66 2/3%) in principal amount of the Senior Debt is required to constitute the consent of Lenders."
amendment,"At any time before or after approval and adoption by the shareholders of DIT and prior to the Effective Date, this Agreement and Plan of Merger may be amended in any manner as may be determined in the judgment of the respective Boards of Directors of DIT to be necessary, desirable or expedient; provided, however, that, after approval of the shareholders of DIT, such amendment may not materially and adversely affect the rights and interests of the shareholders of DIT."
amendment,"Neither this Agreement nor any provisions hereof may be changed, waived, discharged or terminated orally or in any manner other than by an instrument in writing signed by the party against whom enforcement of the change, waiver, discharge or termination is sought."
amendment,"No provision of this Agreement may be modified, amended, waived or discharged in any manner except by a written instrument executed by each of the parties hereto."
severability,"Whenever possible, each provision of this Agreement shall be interpreted in such manner as to be effective and valid under applicable law, but if any provision of this Agreement is held to be invalid, illegal or unenforceable in any respect under any applicable law or rule in any jurisdiction, such invalidity, illegality or unenforceability shall not affect any other provision or any other jurisdiction, but this Agreement shall be reformed, construed and enforced in such jurisdiction as if such invalid, illegal or unenforceable provision had never been contained herein."
severability,"Whenever possible, each provision of this Security Agreement shall be interpreted in such a manner as to be effective and valid under applicable law, but if any provision of this Security Agreement shall be prohibited by or invalid under applicable law, such provision shall be ineffective to the extent of such prohibition or invalidity, without invalidating the remainder of such provision or the remaining provisions of this Security Agreement provided, however, if such invalidity adversely affects the substantial rights of the Secured Creditor under this Security Agreement, all the Liability shall immediately become due and payable in full."
severability,"If any provision of this Agreement is held to be illegal, invalid or unenforceable under present or future laws effective during the term hereof, such provision shall be fully severable, this Agreement shall be construed and enforceable as if the illegal, invalid or unenforceable provision had never comprised a part of it, and the remaining provisions of this Agreement shall remain in full force and effect and shall not be affected by the illegal, invalid, or unenforceable provision or its severance herefrom. Furthermore, in lieu of such illegal, invalid or unenforceable provision, there shall be added automatically as a part of this Agreement, a provision as similar in terms to such illegal, invalid or unenforceable provision as may be possible and legal, valid, and enforceable."
severability,"If any provision of this Agreement is held to be invalid under applicable law, then such provision shall be ineffective only to the extent of such invalidity, and neither the remainder of such provision nor any other provisions of this Agreement shall be affected thereby."
severability,"If any term or other provision of this Agreement is invalid, illegal or incapable of being enforced by any law or public policy, all other terms and provisions of this Agreement shall nevertheless remain in full force and effect so long as the economic or legal substance of the transactions contemplated hereby is not affected in any manner materially adverse to any party. Upon such determination that any term or other provision is invalid, illegal or incapable of being enforced, the parties hereto shall negotiate in good faith to modify this Agreement so as to effect the original intent of the parties as closely as possible in an acceptable manner in order that the transactions contemplated hereby are consummated as originally contemplated to the greatest extent possible."
severability,"In the event that any provision of the Option shall be held illegal, invalid, or unenforceable for any reason, such provision shall be fully severable, but shall not affect the remaining provisions of the Option, and the Option shall be construed and enforced as if the illegal, invalid, or unenforceable provision had never been included herein."
severability,"In the event that any provision of this Restricted Stock Agreement shall be held illegal, invalid, or unenforceable for any reason, such provision shall be fully severable, but shall not affect the remaining provisions of this Restricted Stock Agreement and this Restricted Stock Agreement shall be construed and enforced as if the illegal, invalid, or unenforceable provision had never been included herein."
severability,"Wherever possible, each provision of this Agreement shall be interpreted in such a manner as to be effective and valid under applicable law, but if any provision of this Agreement shall be prohibited by or invalid under applicable law, such provision shall be ineffective only to the extent of such prohibition or invalidity without invalidating the remainder of such provision or the remaining provisions of this Agreement."
severability,"If any provision of this Agreement is held to be unenforceable as a matter of law, the other terms and provisions hereof shall not be affected thereby and shall remain in full force and effect."
severability,"This Agreement may be executed in any number of counterparts and by different parties hereto in separate counterparts, each of which when so executed shall be deemed to be an original and all of which when taken together shall constitute one and the same Agreement. Any provisions of this Agreement which are prohibited or unenforceable in any jurisdiction shall, as to such jurisdiction, be ineffective to the extent of such prohibition or unenforceability without invalidating the remaining provisions hereof, and any such prohibition or unenforceability in any jurisdiction shall not invalidate or render unenforceable any other provision in such jurisdiction or such provision in any other jurisdiction."
severability,"If any provision of this Agreement is held to be unenforceable as a matter of law, the other terms and provisions hereof shall not be affected thereby and shall remain in full force and effect."
severability,"If any provision of this Agreement is held to be unenforceable as a matter of law, the other terms and provisions hereof shall not be affected thereby and shall remain in full force and effect."
severability,"If any provision of this Agreement is held to be invalid under applicable law, then such provision shall be ineffective only to the extent of such invalidity, and neither the remainder of such provision nor any other provisions of this Agreement shall be affected thereby."
severability,"In the event that any provision of the Option shall be held illegal, invalid, or unenforceable for any reason, such provision shall be fully severable, but shall not affect the remaining provisions of the Option, and the Option shall be construed and enforced as if the illegal, invalid, or unenforceable provision had never been included herein."
severability,"If any provision of this Agreement is held to be unenforceable as a matter of law, the other terms and provisions hereof shall not be affected thereby and shall remain in full force and effect."
severability,"If any provision of this Agreement is held to be unenforceable as a matter of law, the other terms and provisions hereof shall not be affected thereby and shall remain in full force and effect."
severability,Any provision of this Agreement that is prohibited or unenforceable in any jurisdiction shall be ineffective to the extent of such prohibition or unenforceability without invalidating the remaining provisions hereof and any such prohibition or unenforceability in any jurisdiction shall not invalidate or render unenforceable such provision in any other jurisdiction.
severability,"If any provision of this Agreement is held to be unenforceable as a matter of law, the other terms and provisions hereof shall not be affected thereby and shall remain in full force and effect."
severability,Any provision of this Agreement that is prohibited or unenforceable in any jurisdiction shall be ineffective to the extent of such prohibition or unenforceability without invalidating the remaining provisions hereof and any such prohibition or unenforceability in any jurisdiction shall not invalidate or render unenforceable such provision in any other jurisdiction.
severability,"If any provision of this Agreement is held invalid or unenforceable by any court of competent jurisdiction, the other provisions of this Agreement will remain in full force and effect. Any provision of this Agreement held invalid or unenforceable only in part or degree will remain in full force and effect to the extent not held invalid or unenforceable."
severability,"Should any part, term, condition or provision hereof or the application thereof be declared illegal, invalid or otherwise unenforceable or in conflict with any other law by a court of competent jurisdiction, the validity of the remaining parts, terms, conditions or provisions of this Agreement shall not be affected thereby, and the illegal, invalid or unenforceable portions of this Agreement shall be and hereby are redrafted to conform with applicable law, while leaving the remaining portions of this Agreement intact, except to the extent necessary to conform to the redrafted portions hereof."
severability,"If any provision of this Agreement is held to be unenforceable as a matter of law, the other terms and provisions hereof shall not be affected thereby and shall remain in full force and effect."
severability,Any provision of this Amendment which is prohibited or unenforceable shall be ineffective to the extent of such prohibition or unenforceability without invalidating the remaining provisions hereof in that jurisdiction or affecting the validity or enforceability of such provision in any other jurisdiction.
severability,"If any provision of this Agreement is determined by a court of competent jurisdiction to be invalid, void or unenforceable, the remaining provisions hereof shall remain in full force and effect and shall in no way be affected, impaired or invalidated thereby, so long as the economic or legal substance of the transactions contemplated hereby is not affected in any manner materially adverse to any party. Upon any such determination, the parties shall negotiate in good faith a suitable and equitable substitute provision to effect the original intent of the parties."
severability,"Whenever possible, each provision of this Agreement will be interpreted in such manner as to be effective and valid under applicable law.  In the event that any provision of this Agreement shall be held to be void or unenforceable, the remaining provisions of this Agreement shall continue in full force and effect."
severability,"In case any provision of this Agreement shall be invalid, illegal or otherwise unenforceable, the validity, legality and enforceability of the remaining provisions shall in no way be affected or impaired thereby."
severability,"The invalidity or unenforceability of any provision or provisions of this Agreement shall not affect the validity or enforceability of any other provision hereof, which shall remain in full force and effect."
severability,"If any provision of this Agreement is held to be invalid under applicable law, then such provision shall be ineffective only to the extent of such invalidity, and neither the remainder of such provision nor any other provisions of this Agreement shall be affected thereby."
severability,"In the event that any provision or any part of any provision of this Agreement is held to be illegal, invalid or unenforceable, such illegality, invalidity or unenforceability shall not affect the validity or enforceability of any other provision or part hereof."
severability,"If any term, covenant, restriction or provision of this Security Agreement is determined to be void or unenforceable, the remainder of the terms, covenants, restrictions and provisions of this Security Agreement shall remain in full force and effect and shall in no way be affected, impaired or restricted, and this Security Agreement shall be enforceable to the fullest extent permitted by applicable law."
severability,The illegality or unenforceability of any provision of this Agreement or any instrument or agreement required hereunder shall not in any way affect or impair the legality or enforceability of the remaining provisions of this Agreement or any instrument or agreement required hereunder.
severability,"If any provision of this Agreement is held to be unenforceable as a matter of law, the other terms and provisions hereof shall not be affected thereby and shall remain in full force and effect."
severability,"Whenever possible, each provision of this Agreement will be interpreted in such manner as to be effective and valid under applicable law, but if any provision of this Agreement is held to be invalid, illegal or unenforceable in any respect under any applicable law or rule in any jurisdiction, such invalidity, illegality or unenforceability will not affect any other provision or any other jurisdiction, but this Agreement will be reformed, construed and enforced in such jurisdiction as if such invalid, illegal or unenforceable provisions had never been contained herein."
severability,"If any provision in this Agreement is held invalid or unenforceable by a body of competent jurisdiction, such provision will be construed, limited or, if necessary, severed to the extent necessary to eliminate such invalidity or unenforceability.  The parties agree to negotiate in good faith a valid, enforceable substitute provision that most nearly effects the parties’ original intent in entering into this Agreement or to provide an equitable adjustment in the event no such provision can be added.  The other provisions of this Agreement will remain in full force and effect."
severability,"If any provision in this Agreement is held invalid or unenforceable by a body of competent jurisdiction, such provision will be modified or, if necessary, severed to the extent necessary to eliminate such invalidity or unenforceability.  The parties agree to negotiate in good faith a valid, enforceable substitute provision that most nearly effects the parties' original intent in entering into this Agreement or to provide an equitable adjustment in the event no such provision can be added.  The other provisions of this Agreement will remain in full force and effect."
severability,"If one or more provisions of this Agreement are held to be unenforceable under applicable law, the parties agree to renegotiate such provision in good faith. In the event that the parties cannot reach a mutually agreeable and enforceable replacement for such provision, then (a) such provision shall be excluded from this Agreement, (b) the balance of the Agreement shall be interpreted as if such provision were so excluded and (c) the balance of the Agreement shall be enforceable in accordance with its terms."
severability,"If any term, condition or provision of this Agreement is held to be unenforceable for any reason, it shall, if possible, be interpreted to achieve the intent of the parties to this Agreement to the extent possible rather than voided.  In any event, all other terms, conditions and provision of this Agreement shall be deemed valid and enforceable to the full extent."
severability,"The parties hereto agree that each provision of this Agreement shall be interpreted in such a manner as to be effective and valid under applicable law. If any provision of this Agreement shall nonetheless be held to be prohibited by or invalid under applicable law (a) such provision shall be ineffective only to the extent of such prohibition or invalidity, without invalidating the remainder of such provision or the remaining provisions of this Agreement, and (b) the parties shall, to the extent permissible by applicable law, amend this Agreement, or enter into a voting trust agreement under which shares of the Investors and the Family Shareholders shall be transferred to the voting trust created thereby, so as to make effective and enforceable the intent of this Agreement."
severability,"The parties agree that this Agreement is severable and that in the event any provision of this Agreement is held to be illegal, invalid or unenforceable, the legality, validity and enforceability of the remaining provisions will not be affected or impaired.  Additionally, the parties expressly grant to any court or other entity interpreting this Agreement the power and authority to modify the terms of this Agreement to extent necessary to allow enforcement of this Agreement to the fullest extent allowed by law, consistent with the intent of the parties as evidenced by this Agreement."
severability,"The invalidity or unenforceability of any provision or provisions of this Agreement shall not affect the validity or enforceability of any other provision hereof, which shall remain in full force and effect."
intellectual property,"(a) Seller owns or has the right to use pursuant to license, sublicense, agreement, or permission the Intellectual Property. The consummation of the transactions contemplated by this Agreement will not result in the termination, modification or cancellation of the interests of Seller in the Intellectual Property to be transferred to Purchaser hereunder."
intellectual property,"Parent and its Subsidiaries have all right, title and interest in, or a valid and binding license to use, all Intellectual Property material to the conduct of the business of Parent and its Subsidiaries taken as a whole. Neither Parent nor any Subsidiary of Parent is in default (or with the giving of notice or lapse of time or both, would be in default) under any license to use such Intellectual Property and, to the knowledge of Parent, such Intellectual Property is not being infringed by any third party, and neither Parent nor any Subsidiary of Parent is infringing any Intellectual Property of any third party, except for such defaults and infringements which would not reasonably be expected to result in a Material Adverse Effect on Parent."
intellectual property,"Except as disclosed in the Company Disclosure Schedule, (i) the Company and each of its Subsidiaries owns, or is licensed to use (in each case, free and clear of any Liens), all Intellectual Property used in and necessary for the conduct of its business as currently conducted; (ii) the use of any Intellectual Property by the Company and its Subsidiaries does not infringe on or otherwise violate the rights of any Person and is in accordance with any applicable license pursuant to which the Company or any Subsidiary acquired the right to use any Intellectual Property; (iii) to the knowledge of the Company, no Person is challenging, infringing on or otherwise violating any right of the Company or any of its Subsidiaries with respect to any Intellectual Property owned by and/or licensed to the Company or its Subsidiaries; and (iv) neither the Company nor any of its Subsidiaries has received any written notice or otherwise has knowledge of any pending claim, order or proceeding with respect to any Intellectual Property used by the Company and its Subsidiaries and to its knowledge no Intellectual Property owned and/or licensed by the Company or its Subsidiaries is being used or enforced in a manner that would reasonably be expected to result in the abandonment, cancellation or unenforceability of such Intellectual Property."
intellectual property,"As a condition precedent to the Company hiring the Executive and the Company’s performance of its obligations hereunder, the Executive shall execute and deliver to the Company the Employee Invention, Copyright and Trade Secret Agreement in the form attached hereto as Exhibit A (the “Employee Invention Agreement”). The Executive shall also comply with all of the applicable policies generally in effect for employees of the Company or any applicable Company Affiliate for which the Executive performs services, including without limitation, the Company’s Code of Business Conduct and the Company’s Policy on Trading in ADC’s Securities, as the same may be amended from time to time."
intellectual property,"As a condition precedent to ADC performing its obligations hereunder, Cadogan shall execute and deliver to ADC the Employee Invention, Copyright and Trade Secret Agreement in the form attached hereto as Exhibit A (the “Employee Invention Agreement”)."
intellectual property,"Parent and its Subsidiaries have all right, title and interest in, or a valid and binding license to use, all Intellectual Property material to the conduct of the business of Parent and its Subsidiaries taken as a whole. Neither Parent nor any Subsidiary of Parent is in default (or with the giving of notice or lapse of time or both, would be in default) under any license to use such Intellectual Property and, to the knowledge of Parent, such Intellectual Property is not being infringed by any third party, and neither Parent nor any Subsidiary of Parent is infringing any Intellectual Property of any third party, except for such defaults and infringements which would not reasonably be expected to result in a Material Adverse Effect on Parent."
intellectual property,"Except as set forth on Schedule 5.23, Seller has, or will as of the Closing have, such ownership of or such rights by license or other agreement to use all Intellectual Property necessary to permit Seller and the Seller Subsidiaries to conduct their business as currently conducted, except where the failure to have such ownership, license or right to use would not, individually or in the aggregate, have a Material Adverse Effect. Except as disclosed in Schedule 5.23, (i) to Seller's Knowledge, Seller is not, nor has Seller or any Seller Subsidiary received any notice that Seller is, in default (or with the giving of notice or lapse of time or both, would be in default), under any contract or license to use such Intellectual Property, (ii) there are no material restrictions on the transfer of any material contract or license, or any interest therein, held by Seller in respect of such Intellectual Property, (iii) to Seller's Knowledge, such Intellectual Property is not being infringed by any other Person, and (iv) such Intellectual Property is used solely in connection with the sites included within the Tracy/Pinon Bundle. Neither the Seller nor any Seller Subsidiary has received notice that it is infringing any Intellectual Property of any other Person in connection with the operation of business of the Purchased Assets and neither the Seller nor any Seller Subsidiary, to Seller's Knowledge, is infringing on any Intellectual Property of any other Person the effect of which, individually or in the aggregate, would have a Material Adverse Effect."
intellectual property,"(a) Seller owns or has the right to use pursuant to license, sublicense, agreement, or permission the Intellectual Property. The consummation of the transactions contemplated by this Agreement will not result in the termination, modification or cancellation of the interests of Seller in the Intellectual Property to be transferred to Purchaser hereunder."
intellectual property,"Schedule 4.9 is a complete and correct list of all (a) United States and foreign patents, trademark and trade name registrations, trademarks and trade names, brandmarks and brand name registrations, service-marks and serviceman registrations, assumed names and copyrights and copyright registrations, owned in whole or in part or used by the Company, and all applications therefor, (b) inventions, discoveries, improvements, processes, formulae, proprietary rights and trade secrets relating to the Business, and (c) licenses and other agreements to which the Company is a party or otherwise bound which relate to any of the foregoing. Except as expressly set forth in said Schedule 4.9, (a) the Company owns or has the right to use all of the foregoing; (b) no proceedings have been instituted, are pending or, to the best of the knowledge of the Company is threatened, which challenge the rights of the Company in respect thereto or the validity thereof and, to the best knowledge of the Company, there is no valid basis for any such proceedings; (c) none of the aforesaid violates any laws, statutes, ordinances or regulations, or has at any time infringed upon or violated any rights of others, or is being infringed by others; and (d) none of the aforesaid is subject to any outstanding order, decree, judgment, stipulation or charge."
