Clause,Cleaned_Clause,Cluster
"“Applicable Laws” means all Indian statutes, laws, regulations, ordinances, rules, determination, judgments, rule of law, orders, decrees, policies, guidelines, permits, approvals, concessions, grants, franchises, licenses, requirements, or any similar form of decision of, or any provision or condition of any permit, license or other operating authorization issued by any governmental authority having or asserting jurisdiction over the matter or matters in question, whether now or hereafter in effect, to the extent applicable to the Parties to this MSA.”",applicable law mean indian statute law regulation ordinance rule determination judgment rule law order decree policy guideline permit approval concession grant franchise license requirement similar form decision provision condition permit license operating authorization issued governmental authority asserting jurisdiction matter matter question whether hereafter effect extent applicable party msa,2
“Client Contract” means contractual arrangements made by ABC with SEG and such other clients.,client contract mean contractual arrangement made abc seg client,2
"“Confidential Information” means this MSA and all information obtained by one Party from the other, pursuant to this MSA, which is expressly marked as confidential or which is manifestly confidential or which is confirmed in writing to be confidential within 7 (seven) days of its disclosure, and each Party’s confidential information shall include without limitation all operational, business, commercial and financial information, business or trade secrets, personnel information, its products and/or prospective products, ideas, marketing information, technical and commercial know-how, tools, specifications, inventions, processes and initiatives that have been disclosed to the other Party, or the other Party becomes aware of, in the course of the MSA.",confidential information mean msa information obtained one party pursuant msa expressly marked confidential manifestly confidential confirmed writing confidential within seven day disclosure party confidential information shall include without limitation operational business commercial financial information business trade secret personnel information product andor prospective product idea marketing information technical commercial knowhow tool specification invention process initiative disclosed party party becomes aware course msa,2
“Consultants” means those employees and sub-contractors of BSL engaged from time to time in providing the Contractual Services and any employees of any such sub-contractors who are so engaged;,consultant mean employee subcontractor bsl engaged time time providing contractual service employee subcontractor engaged,2
“Contractual Services” means the services to be provided by BSL pursuant to the engagement with SEG.,contractual service mean service provided bsl pursuant engagement seg,0
"“Developed Works” means any and all works of authorship and materials developed, written or prepared by BSL, its employees, agents or sub-contractors in the course of providing the Contractual Services (whether individually, collectively or jointly with the ABC and on whatever media).",developed work mean work authorship material developed written prepared bsl employee agent subcontractor course providing contractual service whether individually collectively jointly abc whatever medium,2
"“Force Majeure Event” shall mean any unforeseen event which arises after the date of the MSA, which obstructs the MSA, and/or either Party from executing part or all of the its obligations under the MSA, and which by the exercise of reasonable diligence of the said Party is unable to prevent, including without limitation:",force majeure event shall mean unforeseen event arises date msa obstructs msa andor either party executing part obligation msa exercise reasonable diligence said party unable prevent including without limitation,2
"Acts of God (such as, but not limited to, fires, explosions, storm, earthquakes, drought, tidal waves and floods), except to the extent that such an act of God is caused, or its effects contributed to, by the Party claiming force majeure, and/or",act god limited fire explosion storm earthquake drought tidal wave flood except extent act god caused effect contributed party claiming force majeure andor,2
"War, hostilities (whether declared or not), invasion, act of public or enemies, mobilization, requisition, or embargoes or other import restrictions, acts of terrorism, rebellion, revolution, insurrection, or military or usurped power, or civil war, and/or",war hostility whether declared invasion act public enemy mobilization requisition embargo import restriction act terrorism rebellion revolution insurrection military usurped power civil war andor,2
"contamination by radioactivity from any nuclear fuel, or from any nuclear waste from the combustion of nuclear fuel, radio-active toxic explosive, or other hazardous properties of any explosive nuclear assembly or nuclear component of such assembly, and/or",contamination radioactivity nuclear fuel nuclear waste combustion nuclear fuel radioactive toxic explosive hazardous property explosive nuclear assembly nuclear component assembly andor,2
"Riot, commotion, strikes, go slows, industrial disturbances, sabotage, lock outs or disorder, except where solely restricted to employees of the Party, or breakdown of or injury to any facilities used for production, and/or",riot commotion strike go slows industrial disturbance sabotage lock out disorder except solely restricted employee party breakdown injury facility used production andor,2
"change in governmental law and/or policies, government prohibitions, lockdown, epidemic, pandemic, strike and/or emergency, and/or",change governmental law andor policy government prohibition lockdown epidemic pandemic strike andor emergency andor,2
"cyber-attack, cyber terrorism, and/or malicious damage.",cyberattack cyber terrorism andor malicious damage,0
"“Intellectual Property Rights” means patents, copyright and related rights, trademarks, trade names and domain names, rights in get-up, rights in goodwill or to sue for passing off, rights in designs, rights in computer software, database rights, rights in confidential information (including know-how and trade secrets) and any other intellectual property rights, in each case whether registered or unregistered and including all applications (or rights to apply) for, and renewals or extensions of, such rights and all similar or equivalent rights or forms of protection which may now or in the future subsist in any part of the world;",intellectual property right mean patent copyright related right trademark trade name domain name right getup right goodwill sue passing right design right computer software database right right confidential information including knowhow trade secret intellectual property right case whether registered unregistered including application right apply renewal extension right similar equivalent right form protection may future subsist part world,2
INTERPRETATION,interpretation,1
In this MSA:,msa,1
any reference to a Party to this MSA includes a reference to his successors in title and permitted assigns;,reference party msa includes reference successor title permitted assigns,0
the headings to the clauses are for ease of reference only and shall not affect the interpretation or construction of this MSA.,heading clause ease reference shall affect interpretation construction msa,0
SCOPE OF MSA,scope msa,0
This MSA sets out overall framework for the provision of Contractual Services to be provided by BSL to ABC on a back to back arrangement pursuant to Client Contract.,msa set overall framework provision contractual service provided bsl abc back back arrangement pursuant client contract,2
"The Parties shall, from time to time during the Term of this MSA, enter into individual agreements (“Purchase Order”) to set out the scope of Contractual Services to be performed by BSL under this MSA or Client Contract and consequent to any instructions given by SEG or any other similar clients. For the purpose of this MSA, SEG and such other clients shall be deemed to be as Principal Contractor.",party shall time time term msa enter individual agreement purchase order set scope contractual service performed bsl msa client contract consequent instruction given seg similar client purpose msa seg client shall deemed principal contractor,2
Purchase Order shall be concluded on the basis of the template attached to this MSA as “Schedule A”.,purchase order shall concluded basis template attached msa schedule,0
"Unless otherwise agreed in writing as a specific variation to this MSA, this MSA shall apply to the provision of all Contractual Services performed by BSL under each Purchase Order.",unless otherwise agreed writing specific variation msa msa shall apply provision contractual service performed bsl purchase order,2
TERM,term,1
This MSA shall commence with effect from Effective Date and shall continue until terminated in accordance with Clause 15 (“Term”).,msa shall commence effect effective date shall continue terminated accordance clause term,0
REPRESENTATION AND WARRANTIES,representation warranty,1
Each Party represents that:,party represents,1
It has the legal right and authority to enter into this MSA and is not barred by any agency or under Applicable Laws.,legal right authority enter msa barred agency applicable law,0
All the information and disclosures made in respect to this MSA are true and accurate.,information disclosure made respect msa true accurate,0
It has taken all necessary authorizations and approvals for the purpose of execution of this MSA.,taken necessary authorization approval purpose execution msa,0
BSL represents and warrants to ABC that:,bsl represents warrant abc,0
it guarantees the functionality of the Developed Work under the Purchase Order.,guarantee functionality developed work purchase order,0
"in the event of any defect in Developed Work, BSL shall modify the Developed Work in accordance terms of the Purchase Order without any additional charge.",event defect developed work bsl shall modify developed work accordance term purchase order without additional charge,2
BSL and the Consultants will have the necessary skill and expertise to provide the Contractual Services on the terms set out in this MSA.,bsl consultant necessary skill expertise provide contractual service term set msa,0
"the Developed Works will, so far as they do not comprise pre-existing material originating from the ABC, its employees, agents, third party or contractors, be original works of authorship and the use or possession thereof by the ABC or BSL will not subject the ABC or BSL to any claim for infringement of any proprietary rights of any third party;",developed work far comprise preexisting material originating abc employee agent third party contractor original work authorship use possession thereof abc bsl subject abc bsl claim infringement proprietary right third party,2
the Contractual Services will be provided in a timely and professional manner with reasonable skill and care and on a best effort basis.,contractual service provided timely professional manner reasonable skill care best effort basis,2
"It shall, neither by itself nor through any persons employed or acting on its behalf (including employees, directors, agents, Consultants, or approved subcontractors) (i) give, offer, or promise to give, directly or indirectly, or accept, receive or agree to accept or receive anything of value (including, but not limited to, money, services, product samples, commissions, contributions, fees, gifts, bribes, rebates, payoffs, travel expenses, entertainment, influence payments, kickbacks or any other payment), regardless of form, to any person (including the professionals) to secure a business advantage, to obtain or retain business or to direct business to or away from any entity.",shall neither person employed acting behalf including employee director agent consultant approved subcontractor give offer promise give directly indirectly accept receive agree accept receive anything value including limited money service product sample commission contribution fee gift bribe rebate payoff travel expense entertainment influence payment kickback payment regardless form person including professional secure business advantage obtain retain business direct business away entity,2
"it owns all Intellectual Property Rights or has the right to use and assign such Intellectual Property Rights in the Developed Works. If BSL recognizes or must recognize that such breach is imminent there is a duty to inform ABC without any delay. In this context, ABC shall be provided with all information concerning the assertion of claims by third parties, in particular concerning the type and scope of the alleged infringement of Intellectual Property Rights.",owns intellectual property right right use assign intellectual property right developed work bsl recognizes must recognize breach imminent duty inform abc without delay context abc shall provided information concerning assertion claim third party particular concerning type scope alleged infringement intellectual property right,2
"to the extent necessary it shall ensure its employees, subcontractors and Consultants are fully aware of the terms of this MSA that relate to them and that they comply with the same.",extent necessary shall ensure employee subcontractor consultant fully aware term msa relate comply,2
"any facts, opinions or property provided by BSL contained in any Developed Works, is accurate, is not misleading or defamatory, and otherwise complies with all Applicable Laws.",fact opinion property provided bsl contained developed work accurate misleading defamatory otherwise complies applicable law,2
"in implementing Purchase Order BSL shall also use technical solutions that are produced on the basis of generally offered network platforms of BSL and third parties. If technical modifications are made to individual features of the Developed Work these changes must also be implemented in this MSA. BSL shall inform ABC to the extent technically possible, avoid any disadvantages for ABC. The conversion of Developed Work by BSL is generally free of charge for ABC.",implementing purchase order bsl shall also use technical solution produced basis generally offered network platform bsl third party technical modification made individual feature developed work change must also implemented msa bsl shall inform abc extent technically possible avoid disadvantage abc conversion developed work bsl generally free charge abc,2
upon ABC request BSL shall permit ABC to sublet its IT Infrastructure even in part or any other transfer of use to third parties.,upon abc request bsl shall permit abc sublet infrastructure even part transfer use third party,2
"for the purpose of providing Contractual Services, it shall adhere to all the provisions or guidelines set out in the Client Contract.",purpose providing contractual service shall adhere provision guideline set client contract,0
ABC represents to BSL that it shall:,abc represents bsl shall,0
ensure that its employees and any sub-contractors co-operate fully and promptly with BSL and the Consultants in relation to the provision of the Contractual Services and that such employees and any such sub-contractors will be qualified to carry out any tasks which they may be assigned;,ensure employee subcontractor cooperate fully promptly bsl consultant relation provision contractual service employee subcontractor qualified carry task may assigned,2
furnish BSL with such information and documents as it may reasonably requested for the proper performance of Contractual Services;,furnish bsl information document may reasonably requested proper performance contractual service,2
"ensure that its employees, subcontractors and consultants are fully aware of the terms of this MSA and any related document hereto and comply with the same.",ensure employee subcontractor consultant fully aware term msa related document hereto comply,2
PERSONNEL,personnel,1
The Parties shall each appoint a representative who shall have full authority to take all necessary binding decisions regarding the provision of the Contractual Services including the written variation of this MSA (“Personnel”) and shall adhere to any confidentiality which may be required under the Client Contract.,party shall appoint representative shall full authority take necessary binding decision regarding provision contractual service including written variation msa personnel shall adhere confidentiality may required client contract,2
"BSL shall ensure that, while any of the Consultants are on ABC’s premises, they will conform to the ABC’s normal codes of staff and security practice.",bsl shall ensure consultant abc premise conform abc normal code staff security practice,2
RIGHTS OF USE TO SOFTWARE PROVIDED BY ABC/SEG,right use software provided abcseg,0
"ABC on behalf of SEG may grant BSL the non-exclusive, non-transferable right, limited to the respective location of the IT infrastructure and limited in time to the Term of this MSA, to use the software used by the ABC on the IT infrastructure provided or individual elements thereof (this also includes, for example, photographs or trademarks) and the data and content stored by the ABC on the IT infrastructure provided as part of the performance of the contractual obligations, in particular to reproduce it. Duplications and the use of copies made may be made primarily for backup and security purposes.",abc behalf seg may grant bsl nonexclusive nontransferable right limited respective location infrastructure limited time term msa use software used abc infrastructure provided individual element thereof also includes example photograph trademark data content stored abc infrastructure provided part performance contractual obligation particular reproduce duplication use copy made may made primarily backup security purpose,2
"To the extent that BSL hosts an Internet website for ABC it grants BSL the non-exclusive, non-transferable, worldwide right, limited in time and to Term of this MSA, to transmit the data and content, the website or individual elements of the website via the BSL communications link to the public in such a way that third parties may access them at any time and from any place they choose.",extent bsl host internet website abc grant bsl nonexclusive nontransferable worldwide right limited time term msa transmit data content website individual element website via bsl communication link public way third party may access time place choose,2
OWNERSHIP OF INTELLECTUAL PROPERTY RIGHTS,ownership intellectual property right,0
"In the absence of any provisions to the contrary in the Purchase Order, BSL irrevocably and unconditionally grants the exclusive, perpetual, worldwide and transferable right to use the Developed Work, without use restrictions, to ABC for the purpose of Client Contract. The right of use shall include, in particular, the right to, load, install, configure, access, execute, display, copy (including for back-up or archival purposes) and save the Developed Work, and to make the Developed Work available for use (also via network, e.g. by providing application services).",absence provision contrary purchase order bsl irrevocably unconditionally grant exclusive perpetual worldwide transferable right use developed work without use restriction abc purpose client contract right use shall include particular right load install configure access execute display copy including backup archival purpose save developed work make developed work available use also via network eg providing application service,2
"ABC is entitled to modify the Developed Work, at its own discretion, either itself or via third parties, and to use the modified Developed Work in the same manner as the original Developed Work.",abc entitled modify developed work discretion either via third party use modified developed work manner original developed work,2
ABC is entitled to transfer and/or sublicense rights of use in respect of the Developed Work.,abc entitled transfer andor sublicense right use respect developed work,0
The provisions of this Clause shall survive the expiration or termination of this MSA.,provision clause shall survive expiration termination msa,0
INTELLECTUAL PROPERTY INDEMNITY,intellectual property indemnity,0
CHARGES AND INVOICE,charge invoice,0
"ABC shall pay BSL the charges for the Contractual Services at such rates or fees as specified in the in the Purchase Order.  The charges payable under this MSA are inclusive of goods and services tax and any tax, which shall be paid by the ABC at the rate and in the manner for the time being prescribed by law.",abc shall pay bsl charge contractual service rate fee specified purchase order charge payable msa inclusive good service tax tax shall paid abc rate manner time prescribed law,2
"Except for Force Majeure, if BSL fails to adhere to the timescale prescribed in Purchase Order for performing Contractual Services, BSL shall pay penalty to ABC for each week of delay amounting to [] % of the total charges for Contractual Services. If the delay is more than []  weeks, ABC is entitled to forthwith terminate this MSA. Notwithstanding the foregoing, BSL shall still be responsible for penalty set forth in this MSA or Purchase Order.",except force majeure bsl fails adhere timescale prescribed purchase order performing contractual service bsl shall pay penalty abc week delay amounting total charge contractual service delay week abc entitled forthwith terminate msa notwithstanding foregoing bsl shall still responsible penalty set forth msa purchase order,2
RIGHT TO AUDIT,right audit,1
ABC shall have the right to audit the BSL's compliance with the contractual obligations.,abc shall right audit bsls compliance contractual obligation,0
"BSL agrees and warrants that at the reasonable request of ABC and upon reasonable notice of seven (7) business days, to allow the ABC to conduct an audit of the BSL 's processes, systems, infrastructure and facilities that are used to manage the ABC’s data.",bsl agrees warrant reasonable request abc upon reasonable notice seven business day allow abc conduct audit bsl process system infrastructure facility used manage abc data,2
"ABC shall have the right to carry out the audit itself and/or select and appoint an external third party auditors.  ABC agrees to ensure that, and be responsible for, the members of the third party are bound by reasonable obligations of confidentiality in the event that they are required to conduct an audit.",abc shall right carry audit andor select appoint external third party auditor abc agrees ensure responsible member third party bound reasonable obligation confidentiality event required conduct audit,2
CONFIDENTIAL INFORMATION,confidential information,1
"Subject to Clause 12.2, neither Party shall use or divulge or communicate to any person (other than with the authority of the other Party or to such employees, agents and sub-contractors with a need to know) any Confidential Information of the other Party which may be disclosed or come to that Party’s knowledge in the course of providing the Contractual Services.",subject clause neither party shall use divulge communicate person authority party employee agent subcontractor need know confidential information party may disclosed come party knowledge course providing contractual service,2
"Each Party shall ensure that its employees, agents and sub-contractors are aware of and comply with the confidentiality and non-disclosure provisions contained in this Clause. Each Party shall be liable to the other for any breach of this Clause by such employees, agents and sub-contractors.",party shall ensure employee agent subcontractor aware comply confidentiality nondisclosure provision contained clause party shall liable breach clause employee agent subcontractor,2
"If either Party becomes aware of any breach of confidence by any of its employees, agents or sub-contractors it shall promptly notify the other Party and give the other Party all reasonable assistance in connection with any proceedings which the other Party may institute against any such persons. Each Party shall be entitled to procure appropriate injunctive remedies and all such legal and contractual remedies in relation to such unauthorised use or disclosure of Confidential Information.",either party becomes aware breach confidence employee agent subcontractor shall promptly notify party give party reasonable assistance connection proceeding party may institute person party shall entitled procure appropriate injunctive remedy legal contractual remedy relation unauthorised use disclosure confidential information,2
The provisions of this Clause shall survive the expiration or termination of this MSA but the restrictions contained in sub-clause 12.1 shall not apply to any Confidential Information which:,provision clause shall survive expiration termination msa restriction contained subclause shall apply confidential information,2
"comes into the public domain otherwise than through unauthorised disclosure by the disclosing party, its employees, agents or sub-contractors;",come public domain otherwise unauthorised disclosure disclosing party employee agent subcontractor,2
is already known to the disclosing party prior to the commencement of the Contractual Services;,already known disclosing party prior commencement contractual service,2
is lawfully acquired from a third party who owes no duty of confidence to the disclosing party; or,lawfully acquired third party owes duty confidence disclosing party,2
"is required by any court of competent jurisdiction or by a governmental or regulatory authority to be disclosed or where there is a legal right, duty or requirement to disclose.",required court competent jurisdiction governmental regulatory authority disclosed legal right duty requirement disclose,2
DATA PROTECTION AND INFORMATION SECURITY,data protection information security,1
"Each Party shall, in its provision or use of the Contractual Services, comply with the requirements Applicable Data Protection Laws.",party shall provision use contractual service comply requirement applicable data protection law,2
"The documents, knowledge and experience provided to the other Party shall be used exclusively for the purposes of this MSA. Furthermore, the Parties agree to maintain confidentiality about the content of this MSA and about the knowledge gained during its execution.",document knowledge experience provided party shall used exclusively purpose msa furthermore party agree maintain confidentiality content msa knowledge gained execution,2
"BSL shall ensure proper data processing and compliance with technical and organizational data security measures in accordance with Applicable Data Protection Laws. At request of ABC, BSL shall inform BSL in more detail about the measures.",bsl shall ensure proper data processing compliance technical organizational data security measure accordance applicable data protection law request abc bsl shall inform bsl detail measure,2
ASSIGNMENT,assignment,1
"Neither Party shall be entitled to assign or sub-contract any of its rights or obligations under this MSA without the consent in writing of the other Party, not to be unreasonably withheld or delayed.",neither party shall entitled assign subcontract right obligation msa without consent writing party unreasonably withheld delayed,2
TERMINATION,termination,1
ABC shall be entitled to forthwith terminate this MSA or any Purchase Order upon occurrence of one or more following events:,abc shall entitled forthwith terminate msa purchase order upon occurrence one following event,2
"If any insolvency or bankruptcy proceedings are initiated by and/or against the BSL, if a receiver is appointed over any of the BSL’s assets, and/or if BSL unable to pay its debts (if any) as and when they fall due, and/or",insolvency bankruptcy proceeding initiated andor bsl receiver appointed bsls asset andor bsl unable pay debt fall due andor,2
upon the occurrence of a change of control of BSL;,upon occurrence change control bsl,0
"In the event, any of the representations and warranties made by BSL is incorrect, false, fraudulent, negligent, incomplete or misleading or in any manner whatsoever;",event representation warranty made bsl incorrect false fraudulent negligent incomplete misleading manner whatsoever,2
if any Client Contract is terminated in accordance with the terms thereof.,client contract terminated accordance term thereof,0
ABC shall have the right to terminate this MSA prematurely for good cause shall remain unaffected.,abc shall right terminate msa prematurely good cause shall remain unaffected,0
EFFECT ON TERMINATION,effect termination,1
On the expiration or termination of this MSA:,expiration termination msa,0
BSL shall promptly return any Confidential Information and/or copied thereof that are in its possession or destroy the same and by providing a certificate of compliance thereof to the ABC.,bsl shall promptly return confidential information andor copied thereof possession destroy providing certificate compliance thereof abc,2
each Party will return to the other any property of the other that it then has in its possession or control.,party return property possession control,0
"Upon written request from ABC, BSL shall assist ABC with a post termination transition of the Contractual Services (the “Transition Services”).",upon written request abc bsl shall assist abc post termination transition contractual service transition service,2
LIABILITY,liability,1
"BSL's liability, irrespective of the legal grounds, for all claims arising from and in connection with this MSA or Purchase Order shall be limited as follows:",bsls liability irrespective legal ground claim arising connection msa purchase order shall limited follows,0
"In the event of damage caused by simple negligence, BSL shall be liable per individual Purchase Order up to an amount of 10 % of the respective individually agreed remuneration of the last 12 (twelve) months per event of damage within a 12 (twelve) month period, however, up to a maximum of 25 % of the individually agreed remuneration of the last 12 (twelve) months and up to a maximum of INR 9 Crore.",event damage caused simple negligence bsl shall liable per individual purchase order amount respective individually agreed remuneration last twelve month per event damage within twelve month period however maximum individually agreed remuneration last twelve month maximum inr crore,2
"In the event of gross negligence, BSL shall be liable per individual contract within a 12 (twelve) month period up to an amount of 30% of the remuneration agreed in the individual Purchase Order for the last 12 (twelve) months. In case of a contract duration of less than 2 months, the fee actually incurred shall replace the fee for the last 12 months. In the event of a loss occurring within the first 12 (twelve) month period after conclusion of the contract, the charges incurred up to that point shall be extrapolated to 12 (twelve) months.",event gross negligence bsl shall liable per individual contract within twelve month period amount remuneration agreed individual purchase order last twelve month case contract duration less month fee actually incurred shall replace fee last month event loss occurring within first twelve month period conclusion contract charge incurred point shall extrapolated twelve month,2
"In the event of personal injury caused by ordinary negligence, BSL shall be liable up to a maximum amount of INR 5 Crores per damaging event; in the event of gross negligence, BSL shall be liable without limitation.",event personal injury caused ordinary negligence bsl shall liable maximum amount inr crore per damaging event event gross negligence bsl shall liable without limitation,2
"Notwithstanding the foregoing, BSL shall be liable for actual amount of damages suffered by the ABC in case of:",notwithstanding foregoing bsl shall liable actual amount damage suffered abc case,2
breach of the confidentiality provisions;,breach confidentiality provision,0
infringement by BSL of a third party’s IPR;,infringement bsl third party ipr,0
"indirect damages, special damages and consequential damages;",indirect damage special damage consequential damage,0
any other liability that cannot be capped or excluded as a matter of Applicable Laws.,liability cannot capped excluded matter applicable law,0
NOTICES,notice,1
"All notices required or permitted to be given under this MSA shall be in writing and shall be duly given if delivered by  hand  or  sent  by pre-paid  registered  post  to  the address of the applicable set  out below,  or to such other address as may  from time  to time be duly notified to  the other  party for  the purpose.  Notices may be duly given by email to the address so specified below, providing that such notice is also sent by hand or pre-paid registered post to the address below on the same day as the email is sent:",notice required permitted given msa shall writing shall duly given delivered hand sent prepaid registered post address applicable set address may time time duly notified party purpose notice may duly given email address specified providing notice also sent hand prepaid registered post address day email sent,2
If addressed to ABCName: []Designation: []Email: []If addressed to BSL            Name: []Designation: [] Email: [],addressed abcname designation email addressed bsl name designation email,0
FORCE MAJEURE,force majeure,0
"Neither Party shall be liable for any delay or non-performance of obligations under this MSA, to the extent it can establish that the performance of such obligations is prevented by any Force Majeure Event which arises after the date of the MSA, and which could not be reasonably foreseen at the date of the MSA.",neither party shall liable delay nonperformance obligation msa extent establish performance obligation prevented force majeure event arises date msa could reasonably foreseen date msa,2
"If a Party considers that a Force Majeure Event has occurred which has materially affected the performance of its obligations, then it shall forthwith notify the other in writing to that effect giving full details of the circumstances giving rise to the Force Majeure Event, and the causality between the Force Majeure Event and its obligations, no later than seven (7) days from the advent of the purported Force Majeure Event. The affected Party should notify (a) the steps taken to remedy the non-execution of their obligations and to limit the ensuing consequences on the completion of the supplied, (b) the predictable duration of the halt of activity or of its obstruction, (c) the possible effect of this event on the contractual schedule.",party considers force majeure event occurred materially affected performance obligation shall forthwith notify writing effect giving full detail circumstance giving rise force majeure event causality force majeure event obligation later seven day advent purported force majeure event affected party notify step taken remedy nonexecution obligation limit ensuing consequence completion supplied b predictable duration halt activity obstruction c possible effect event contractual schedule,2
As soon as it is established that Force Majeure lasts longer than 6 (six) months each Party is entitled to terminate the MSA or Purchase Order by giving a written notice of 30 days.,soon established force majeure last longer six month party entitled terminate msa purchase order giving written notice day,2
"GOVERNING LAW, JURISDICTION & DISPUTES",governing law jurisdiction dispute,0
This MSA shall be governed by Indian laws without any reference to its or any other jurisdiction conflict of laws principle.,msa shall governed indian law without reference jurisdiction conflict law principle,0
"In the event of any dispute, controversy or claim arising out of or relating in any way to this MSA, including without limitation any dispute concerning the construction, validity, interpretation, enforceability or breach of this MSA, the complaining Party shall notify the other Party in writing about the said dispute, controversy, or claim, and within thirty (30) days of such notice, management level representatives of both Parties shall meet at an agreed location to attempt to resolve the dispute in good faith through amicable negotiations.",event dispute controversy claim arising relating way msa including without limitation dispute concerning construction validity interpretation enforceability breach msa complaining party shall notify party writing said dispute controversy claim within thirty day notice management level representative party shall meet agreed location attempt resolve dispute good faith amicable negotiation,2
MISCELLANEOUS,miscellaneous,1
"No Relationship: Nothing in this MSA shall create or deem to create any special relationship between the Parties, including without limitation, partnership, agency, employer/employee relationship and joint venture. Neither Party has the authority to, and shall not, act as an agent of the other Party, or represent or bind the other Party in any manner whatsoever.",relationship nothing msa shall create deem create special relationship party including without limitation partnership agency employeremployee relationship joint venture neither party authority shall act agent party represent bind party manner whatsoever,2
"Severability: If any term, provision or part of this MSA is, becomes, or is held or declared to be, void, voidable, illegal, invalid or unenforceable under the Applicable Laws, such term, provision or part hereof shall be severed, and the remainder of the MSA shall remain in full force and effect.  The Parties shall negotiate in good faith in order to agree the terms of a mutually satisfactory substitution, to the severed term, provision or part of this MSA, which as nearly as possible gives effect to the Parties’ contractual intentions as expressed herein.",severability term provision part msa becomes held declared void voidable illegal invalid unenforceable applicable law term provision part hereof shall severed remainder msa shall remain full force effect party shall negotiate good faith order agree term mutually satisfactory substitution severed term provision part msa nearly possible give effect party contractual intention expressed herein,2
"Survivability: The sections & clauses in relation to confidentiality, indemnity, liability, representations and warranties, dispute resolution, data protection, and such other clauses which in their nature survive the expiration or termination of this MSA, shall survive expiration or termination of this MSA.  Such provisions shall be binding to each Party, affiliated companies and their successors.  Both Parties recognize and acknowledge that the breach of such provisions shall cause irreparable injury inadequately compensable in damages and that accordingly; the other Party may seek injunctive relief against a breach or threatened breach of the provisions contained in each paragraph, in addition to any other legal remedies under this MSA.",survivability section clause relation confidentiality indemnity liability representation warranty dispute resolution data protection clause nature survive expiration termination msa shall survive expiration termination msa provision shall binding party affiliated company successor party recognize acknowledge breach provision shall cause irreparable injury inadequately compensable damage accordingly party may seek injunctive relief breach threatened breach provision contained paragraph addition legal remedy msa,2
Further Assurances. Each of the Parties hereto shall from time to time execute and deliver all such further documents and instruments and do all acts and things as the other Party may reasonably require to effectively carry out or better evidence or perfect the full intent and meaning of this MSA or Client Contract.,assurance party hereto shall time time execute deliver document instrument act thing party may reasonably require effectively carry better evidence perfect full intent meaning msa client contract,2
