Clause,Cleaned_Clause,Cluster
"""Developed Works"" means any and all works of authorship and materials developed, written or prepared by BSL, its employees, agents or sub-contractors in the course of providing the Contractual Services (whether individually, collectively or jointly with the ABC and on whatever media).",developed work mean work authorship material developed written prepared bsl employee agent subcontractor course providing contractual service whether individually collectively jointly abc whatever medium,1
"""Force Majeure Event"" shall mean any unforeseen event which arises after the date of the MSA, which obstructs the MSA, and/or either Party from executing part or all of the its obligations under the MSA, and which by the exercise of reasonable diligence of the said Party is unable to prevent, including without limitation:",force majeure event shall mean unforeseen event arises date msa obstructs msa andor either party executing part obligation msa exercise reasonable diligence said party unable prevent including without limitation,1
"Acts of God (such as, but not limited to, fires, explosions, storm, earthquakes, drought, tidal waves and floods), except to the extent that such an act of God is caused, or its effects contributed to, by the Party claiming force majeure, and/or",act god limited fire explosion storm earthquake drought tidal wave flood except extent act god caused effect contributed party claiming force majeure andor,0
"War, hostilities (whether declared or not), invasion, act of public or enemies, mobilization, requisition, or embargoes or other import restrictions, acts of terrorism, rebellion, revolution, insurrection, or military or usurped power, or civil war, and/or",war hostility whether declared invasion act public enemy mobilization requisition embargo import restriction act terrorism rebellion revolution insurrection military usurped power civil war andor,0
"contamination by radioactivity from any nuclear fuel, or from any nuclear waste from the combustion of nuclear fuel, radio-active toxic explosive, or other hazardous properties of any explosive nuclear assembly or nuclear component of such assembly, and/or",contamination radioactivity nuclear fuel nuclear waste combustion nuclear fuel radioactive toxic explosive hazardous property explosive nuclear assembly nuclear component assembly andor,0
"Riot, commotion, strikes, go slows, industrial disturbances, sabotage, lock outs or disorder, except where solely restricted to employees of the Party, or breakdown of or injury to any facilities used for production, and/or",riot commotion strike go slows industrial disturbance sabotage lock out disorder except solely restricted employee party breakdown injury facility used production andor,0
"change in governmental law and/or policies, government prohibitions, lockdown, epidemic, pandemic, strike and/or emergency, and/or",change governmental law andor policy government prohibition lockdown epidemic pandemic strike andor emergency andor,0
"cyber-attack, cyber terrorism, and/or malicious damage.",cyberattack cyber terrorism andor malicious damage,0
"""Intellectual Property Rights"" means patents, copyright and related rights, trademarks, trade names and domain names, rights in get-up, rights in goodwill or to sue for passing off, rights in designs, rights in computer software, database rights, rights in confidential information (including know-how and trade secrets) and any other intellectual property rights, in each case whether registered or unregistered and including all applications (or rights to apply) for, and renewals or extensions of, such rights and all similar or equivalent rights or forms of protection which may now or in the future subsist in any part of the world;",intellectual property right mean patent copyright related right trademark trade name domain name right getup right goodwill sue passing right design right computer software database right right confidential information including knowhow trade secret intellectual property right case whether registered unregistered including application right apply renewal extension right similar equivalent right form protection may future subsist part world,1
INTERPRETATION,interpretation,0
In this MSA:,msa,1
any reference to a Party to this MSA includes a reference to his successors in title and permitted assigns;,reference party msa includes reference successor title permitted assigns,1
the headings to the clauses are for ease of reference only and shall not affect the interpretation or construction of this MSA.,heading clause ease reference shall affect interpretation construction msa,1
SCOPE OF MSA,scope msa,1
This MSA sets out overall framework for the provision of Contractual Services to be provided by BSL to ABC on a back to back arrangement pursuant to Client Contract.,msa set overall framework provision contractual service provided bsl abc back back arrangement pursuant client contract,1
"The Parties shall, from time to time during the Term of this MSA, enter into individual agreements (""Purchase Order"") to set out the scope of Contractual Services to be performed by BSL under this MSA or Client Contract and consequent to any instructions given by SEG or any other similar clients. For the purpose of this MSA, SEG and such other clients shall be deemed to be as Principal Contractor.",party shall time time term msa enter individual agreement purchase order set scope contractual service performed bsl msa client contract consequent instruction given seg similar client purpose msa seg client shall deemed principal contractor,1
"Purchase Order shall be concluded on the basis of the template attached to this MSA as ""Schedule A"".",purchase order shall concluded basis template attached msa schedule,1
"Unless otherwise agreed in writing as a specific variation to this MSA, this MSA shall apply to the provision of all Contractual Services performed by BSL under each Purchase Order.",unless otherwise agreed writing specific variation msa msa shall apply provision contractual service performed bsl purchase order,1
TERM,term,0
"This MSA shall commence with effect from Effective Date and shall continue until terminated in accordance with Clause 15 (""Term"").",msa shall commence effect effective date shall continue terminated accordance clause term,1
REPRESENTATION AND WARRANTIES,representation warranty,1
Each Party represents that:,party represents,0
It has the legal right and authority to enter into this MSA and is not barred by any agency or under Applicable Laws.,legal right authority enter msa barred agency applicable law,1
All the information and disclosures made in respect to this MSA are true and accurate.,information disclosure made respect msa true accurate,1
It has taken all necessary authorizations and approvals for the purpose of execution of this MSA.,taken necessary authorization approval purpose execution msa,1
BSL represents and warrants to ABC that:,bsl represents warrant abc,1
it guarantees the functionality of the Developed Work under the Purchase Order.,guarantee functionality developed work purchase order,1
"in the event of any defect in Developed Work, BSL shall modify the Developed Work in accordance terms of the Purchase Order without any additional charge.",event defect developed work bsl shall modify developed work accordance term purchase order without additional charge,1
BSL and the Consultants will have the necessary skill and expertise to provide the Contractual Services on the terms set out in this MSA.,bsl consultant necessary skill expertise provide contractual service term set msa,1
"the Developed Works will, so far as they do not comprise pre-existing material originating from the ABC, its employees, agents, third party or contractors, be original works of authorship and the use or possession thereof by the ABC or BSL will not subject the ABC or BSL to any claim for infringement of any proprietary rights of any third party;",developed work far comprise preexisting material originating abc employee agent third party contractor original work authorship use possession thereof abc bsl subject abc bsl claim infringement proprietary right third party,1
the Contractual Services will be provided in a timely and professional manner with reasonable skill and care and on a best effort basis.,contractual service provided timely professional manner reasonable skill care best effort basis,1
"It shall, neither by itself nor through any persons employed or acting on its behalf (including employees, directors, agents, Consultants, or approved subcontractors) (i) give, offer, or promise to give, directly or indirectly, or accept, receive or agree to accept or receive anything of value (including, but not limited to, money, services, product samples, commissions, contributions, fees, gifts, bribes, rebates, payoffs, travel expenses, entertainment, influence payments, kickbacks or any other payment), regardless of form, to any person (including the professionals) to secure a business advantage, to obtain or retain business or to direct business to or away from any entity.",shall neither person employed acting behalf including employee director agent consultant approved subcontractor give offer promise give directly indirectly accept receive agree accept receive anything value including limited money service product sample commission contribution fee gift bribe rebate payoff travel expense entertainment influence payment kickback payment regardless form person including professional secure business advantage obtain retain business direct business away entity,1
"it owns all Intellectual Property Rights or has the right to use and assign such Intellectual Property Rights in the Developed Works. If BSL recognizes or must recognize that such breach is imminent there is a duty to inform ABC without any delay. In this context, ABC shall be provided with all information concerning the assertion of claims by third parties, in particular concerning the type and scope of the alleged infringement of Intellectual Property Rights.",owns intellectual property right right use assign intellectual property right developed work bsl recognizes must recognize breach imminent duty inform abc without delay context abc shall provided information concerning assertion claim third party particular concerning type scope alleged infringement intellectual property right,1
"to the extent necessary it shall ensure its employees, subcontractors and Consultants are fully aware of the terms of this MSA that relate to them and that they comply with the same.",extent necessary shall ensure employee subcontractor consultant fully aware term msa relate comply,1
"any facts, opinions or property provided by BSL contained in any Developed Works, is accurate, is not misleading or defamatory, and otherwise complies with all Applicable Laws.",fact opinion property provided bsl contained developed work accurate misleading defamatory otherwise complies applicable law,0
"in implementing Purchase Order BSL shall also use technical solutions that are produced on the basis of generally offered network platforms of BSL and third parties. If technical modifications are made to individual features of the Developed Work these changes must also be implemented in this MSA. BSL shall inform ABC to the extent technically possible, avoid any disadvantages for ABC. The conversion of Developed Work by BSL is generally free of charge for ABC.",implementing purchase order bsl shall also use technical solution produced basis generally offered network platform bsl third party technical modification made individual feature developed work change must also implemented msa bsl shall inform abc extent technically possible avoid disadvantage abc conversion developed work bsl generally free charge abc,1
upon ABC request BSL shall permit ABC to sublet its IT Infrastructure even in part or any other transfer of use to third parties.,upon abc request bsl shall permit abc sublet infrastructure even part transfer use third party,1
"for the purpose of providing Contractual Services, it shall adhere to all the provisions or guidelines set out in the Client Contract.",purpose providing contractual service shall adhere provision guideline set client contract,1
 ABC represents to BSL that it shall:,abc represents bsl shall,1
ensure that its employees and any sub-contractors co-operate fully and promptly with,ensure employee subcontractor cooperate fully promptly,1
